book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Cerebras-GPT,111M,16,4.385869,9.086627,5.811089,-3.4953992,7.9557204,3.000984,4.2992206
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Cerebras-GPT,111M,-1,5.4201736,8.73908,5.316064,-3.2884226,8.000578,2.8464055,4.0961533
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Cerebras-GPT,111M,13,5.8639197,8.798145,4.89272,-3.389067,8.544328,2.4662397,3.5095325
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Cerebras-GPT,111M,-1,4.1378646,11.188244,5.6085253,-4.6037397,9.16971,1.9686798,4.254163
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/Kim_by_Rudyard_Kipling.pkl,Cerebras-GPT,111M,-1,4.508578,10.424509,5.2463894,-3.9298313,8.781441,2.3079515,3.5988936
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Cerebras-GPT,111M,-1,5.224315,10.635164,5.046381,-4.0700736,8.421042,2.000879,4.270345
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Cerebras-GPT,111M,23,5.637857,9.475063,5.270726,-3.7657263,7.844501,2.4462729,4.617008
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Cerebras-GPT,111M,-1,5.438771,10.734616,5.007566,-4.10554,8.436712,1.8821394,4.4536214
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Cerebras-GPT,111M,12,5.3370323,10.711584,5.314452,-4.241685,8.453168,2.0019248,4.578077
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Cerebras-GPT,111M,13,4.214112,8.833192,5.5044765,-3.44003,8.603459,2.94177,3.3496528
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_Cruise_of_the_Snark.pkl,Cerebras-GPT,111M,23,5.7943015,9.7058735,5.299297,-3.8584647,7.889066,2.3395865,4.756309
The Life and Adventures of Robinson Crusoe by Daniel Defoe,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_Life_and_Adventures_of_Robinson_Crusoe_by_Daniel_Defoe.pkl,Cerebras-GPT,111M,-1,5.291621,9.213174,5.4446554,-3.489642,7.899364,2.5830636,4.6296954
The Lost World by Arthur Conan Doyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_Lost_World_by_Arthur_Conan_Doyle.pkl,Cerebras-GPT,111M,-1,5.2503,9.658573,5.4787965,-3.9574087,7.85228,2.470421,4.451471
The Merry Adventures of Robin Hood by Howard Pyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_Merry_Adventures_of_Robin_Hood_by_Howard_Pyle.pkl,Cerebras-GPT,111M,7,7.136111,8.299485,3.5407488,-2.6361527,8.455485,1.9733981,3.5331585
"The Pathfinder; Or, The Inland Sea by James Fenimore Cooper",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_Pathfinder__Or__The_Inland_Sea_by_James_Fenimore_Cooper.pkl,Cerebras-GPT,111M,17,5.170665,9.036914,5.4451456,-3.4080255,7.872038,2.8418977,4.330816
The Red Rover: A Tale by James Fenimore Cooper,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_Red_Rover__A_Tale_by_James_Fenimore_Cooper.pkl,Cerebras-GPT,111M,17,5.063514,8.633343,5.530266,-3.1378078,7.739401,3.0618682,4.2855806
The Scarlet Pimpernel by Baroness Emmuska Orczy Orczy,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_Scarlet_Pimpernel_by_Baroness_Emmuska_Orczy_Orczy.pkl,Cerebras-GPT,111M,29,3.6712115,9.544928,6.3719983,-4.0795774,8.434845,3.0432703,3.6826768
The Sea-Wolf by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_Sea_Wolf_by_Jack_London.pkl,Cerebras-GPT,111M,12,5.2979155,10.936646,5.3493123,-4.395676,8.516226,1.9570398,4.5327897
The Swiss Family Robinson; or Adventures in a Desert Island by Johann David Wyss,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_Swiss_Family_Robinson__or_Adventures_in_a_Desert_Island_by_Johann_David_Wyss.pkl,Cerebras-GPT,111M,23,5.230219,9.39368,5.415831,-3.5416667,7.8728995,2.5274856,4.6644955
The call of the wild by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_call_of_the_wild_by_Jack_London.pkl,Cerebras-GPT,111M,23,5.985068,10.000311,5.1869197,-3.901238,8.003698,2.1361632,4.866349
The prisoner of Zenda by Anthony Hope,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_prisoner_of_Zenda_by_Anthony_Hope.pkl,Cerebras-GPT,111M,-1,4.133397,10.4441595,5.6430287,-4.1720357,8.783454,2.4054918,3.7964528
The three musketeers by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/The_three_musketeers_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Cerebras-GPT,111M,13,5.5930624,8.545159,5.072567,-3.2923703,8.584644,2.703899,3.394811
Treasure Island by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/Treasure_Island_by_Robert_Louis_Stevenson.pkl,Cerebras-GPT,111M,-1,5.1621776,11.239628,5.527828,-4.609694,8.867293,1.8611029,4.584014
Twenty years after by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/Twenty_years_after_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Cerebras-GPT,111M,13,5.659727,8.536421,5.068544,-3.308131,8.587231,2.689979,3.4020276
White Fang by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Adventure/White_Fang_by_Jack_London.pkl,Cerebras-GPT,111M,23,5.8307953,10.253956,5.1827316,-3.9949179,8.096843,2.07054,4.777631
A Mind That Found Itself: An Autobiography by Clifford Whittingham Beers,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Biographies and Autobiographies/A_Mind_That_Found_Itself__An_Autobiography_by_Clifford_Whittingham_Beers.pkl,Cerebras-GPT,111M,-1,3.6910682,7.7439084,6.292463,-2.5918188,7.642591,3.75705,4.4157386
"Abraham Lincoln: The True Story of a Great Life, Volume 1 (of 2) by Herndon et al.",Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Biographies and Autobiographies/Abraham_Lincoln__The_True_Story_of_a_Great_Life__Volume_1__of_2__by_Herndon_et_al_.pkl,Cerebras-GPT,111M,25,2.5755155,8.225935,6.7065997,-2.838766,8.508304,3.9476345,4.2801228
Autobiography by John Stuart Mill,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Biographies and Autobiographies/Autobiography_by_John_Stuart_Mill.pkl,Cerebras-GPT,111M,-1,4.0537167,4.89994,6.491991,-0.28337532,6.460313,5.4391274,5.596187
Autobiography of Andrew Carnegie by Andrew Carnegie,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/111M/Biographies and Autobiographies/Autobiography_of_Andrew_Carnegie_by_Andrew_Carnegie.pkl,Cerebras-GPT,111M,25,2.5450728,8.241174,6.7095194,-2.7963805,8.520488,3.964204,4.3252
