book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Cerebras-GPT,13B,1,5.772678,11.0331745,7.9506955,2.0215907,2.0966277,7.6437244,3.0279212
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Cerebras-GPT,13B,15,5.2039576,12.252867,8.240142,3.3378983,1.6659977,7.4246364,3.6571858
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Cerebras-GPT,13B,-1,7.242362,11.360707,7.1078186,3.30622,1.4718205,7.9017415,2.9057288
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Cerebras-GPT,13B,-1,6.20636,12.246289,7.5372953,3.415946,0.6953448,6.9096384,3.0801082
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/Kim_by_Rudyard_Kipling.pkl,Cerebras-GPT,13B,-1,7.003197,11.905191,7.377462,3.4915097,1.1656393,7.8128033,2.98357
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Cerebras-GPT,13B,-1,6.5790277,12.140659,7.7459517,3.5108597,1.2017537,7.808779,3.1679575
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Cerebras-GPT,13B,20,6.0598235,12.281661,8.286711,3.6185043,1.4995675,7.858638,3.5747797
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Cerebras-GPT,13B,20,6.330194,13.148829,8.598991,3.9397662,1.1276147,7.9955378,3.6849945
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Cerebras-GPT,13B,-1,5.849661,11.808293,8.10865,3.3911078,1.7767847,7.7900696,3.5258248
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Cerebras-GPT,13B,1,5.7260795,10.4068575,7.8150253,1.751187,2.1083024,7.742231,2.8753507
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/The_Cruise_of_the_Snark.pkl,Cerebras-GPT,13B,20,6.0452223,12.511548,8.479595,3.767005,1.3419961,7.9188037,3.647501
The Life and Adventures of Robinson Crusoe by Daniel Defoe,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/The_Life_and_Adventures_of_Robinson_Crusoe_by_Daniel_Defoe.pkl,Cerebras-GPT,13B,-1,4.7710333,10.218571,7.122535,2.731482,2.6959734,6.154055,3.6752129
The Lost World by Arthur Conan Doyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/13B/Adventure/The_Lost_World_by_Arthur_Conan_Doyle.pkl,Cerebras-GPT,13B,20,5.9733567,12.914007,8.565877,3.7776434,1.2112492,7.7885327,3.663476
