parent,child,lambda_val,child_size
500,501,1.3116806766644005,27
500,502,1.3116806766644005,473
501,503,1.721127672240125,7
501,504,1.721127672240125,20
502,223,1.440479888970106,1
502,214,1.440479888970106,1
502,206,1.440479888970106,1
502,403,1.440479888970106,1
503,438,6.18971471170621,1
504,35,2.6277393823685884,1
502,137,1.4434849905505354,1
503,326,15.402177411897805,1
504,0,2.832484397132094,1
502,505,1.4882328860882441,8
502,506,1.4882328860882441,460
503,356,20.29796231848674,1
503,168,20.29796231848674,1
503,439,20.29796231848674,1
503,440,20.29796231848674,1
503,447,20.29796231848674,1
504,34,3.741818835824511,1
505,406,3.8043425194523,1
506,42,1.5102719109510887,1
504,185,4.069514802873346,1
505,335,5.232429350628853,1
506,507,1.5567798723663386,10
506,508,1.5567798723663386,449
504,162,4.719242452333235,1
505,61,5.8335928247295055,1
507,468,5.6778886924534815,1
508,292,1.653229755950788,1
504,333,5.028498087589689,1
505,327,7.192332851578442,1
505,363,7.192332851578442,1
505,337,7.192332851578442,1
505,338,7.192332851578442,1
505,336,7.192332851578442,1
507,471,7.3088910428998375,1
508,509,1.6611981708470989,68
508,510,1.6611981708470989,380
504,83,5.7978415017197955,1
507,463,8.504902993114282,1
509,126,1.6611981708470989,1
510,511,1.6720231166387427,112
510,512,1.6720231166387427,268
504,37,6.3286891938576515,1
507,455,8.868032244325983,1
507,451,8.868032244325983,1
507,459,8.868032244325983,1
507,454,8.868032244325983,1
507,458,8.868032244325983,1
507,461,8.868032244325983,1
507,453,8.868032244325983,1
509,144,1.990695431000809,1
511,293,1.721315051417661,1
512,40,1.7184113017728726,1
504,9,6.530047774479641,1
509,513,2.1124518539248034,37
509,514,2.1124518539248034,29
511,11,1.9056802936996486,1
512,365,1.7222047401294958,1
504,188,6.561465695709807,1
513,221,2.7218680396616954,1
514,457,2.7971855878609233,1
511,218,2.14867636443844,1
512,130,1.7343600162461597,1
504,427,6.998309352479504,1
513,515,3.2196140805095728,10
513,516,3.2196140805095728,26
514,233,3.3782359807060858,1
511,202,2.3568186303628385,1
512,81,1.818387175842152,1
504,92,7.2276198197071375,1
515,152,3.2196140805095728,1
516,166,3.2591864062607554,1
514,369,4.022048500032309,1
511,163,2.3649654313704636,1
512,32,1.843223633406747,1
504,354,7.678819295697275,1
515,469,4.9228980648776295,1
516,171,3.3044978858785994,1
514,517,4.0223347991761225,19
514,518,4.0223347991761225,7
511,519,2.3763394679324206,17
511,520,2.3763394679324206,90
512,47,1.8502559034125783,1
504,429,7.870242798909754,1
515,164,5.680292374293627,1
516,226,3.8932929798521623,1
517,456,4.0223347991761225,1
518,230,4.254814492632772,1
519,312,3.7129997010334486,1
520,217,2.718807916756807,1
512,373,1.8502559034125783,1
504,432,8.116087477701239,1
515,466,10.955997664188425,1
516,156,4.291875659671578,1
517,521,4.059890856192957,9
517,522,4.059890856192957,9
518,238,4.537816347954518,1
519,205,3.8622772726451213,1
520,523,2.7273377935731147,38
520,524,2.7273377935731147,51
512,252,2.0250188899836727,1
504,342,8.405186674334278,1
504,46,8.405186674334278,1
504,23,8.405186674334278,1
504,443,8.405186674334278,1
504,21,8.405186674334278,1
515,153,14.336642229620491,1
516,167,4.56930607438636,1
521,242,4.059890856192957,1
522,227,4.6868302163997715,1
518,247,5.719702917515312,1
518,225,5.719702917515312,1
518,241,5.719702917515312,1
518,237,5.719702917515312,1
518,246,5.719702917515312,1
519,308,3.876693733197069,1
523,310,2.7273377935731147,1
524,410,2.752185334882855,1
512,414,2.0306488633859425,1
515,158,14.466860595124178,1
515,39,14.466860595124178,1
515,165,14.466860595124178,1
515,474,14.466860595124178,1
515,169,14.466860595124178,1
516,248,4.5840392239879755,1
521,148,5.139619420150184,1
522,249,4.978679962866649,1
519,311,3.876693733197069,1
523,413,3.0317575024339813,1
524,30,2.7564070592008623,1
512,45,2.077269740123082,1
516,228,5.068145761142965,1
521,472,5.56960316371443,1
522,329,5.0850046813380345,1
519,222,4.882112785449117,1
523,25,3.1351843710433993,1
524,27,2.7922030033190155,1
512,140,2.136212594899088,1
516,234,5.399111956347547,1
516,145,5.399111956347547,1
516,464,5.399111956347547,1
516,318,5.399111956347547,1
521,139,5.951455415456048,1
522,244,5.271710431524467,1
519,525,4.9387869362797945,5
519,526,4.9387869362797945,7
523,411,3.408145167805164,1
524,423,2.8823318227241157,1
512,452,2.176337183792934,1
516,231,5.399111956347547,1
521,143,10.08121716139527,1
521,147,10.08121716139527,1
521,13,10.08121716139527,1
521,138,10.08121716139527,1
521,146,10.08121716139527,1
522,361,5.3469512620103785,1
522,132,5.3469512620103785,1
522,229,5.3469512620103785,1
522,240,5.3469512620103785,1
522,358,5.3469512620103785,1
525,200,4.9387869362797945,1
525,212,4.9387869362797945,1
525,305,4.9387869362797945,1
525,201,4.9387869362797945,1
525,306,4.9387869362797945,1
526,314,5.784298589488297,1
523,402,3.4546033940570466,1
524,527,2.9646626686538666,8
524,528,2.9646626686538666,39
512,64,2.2052138012287132,1
516,245,5.496516185809936,1
526,208,8.462882315287251,1
523,460,3.6192738421570914,1
527,424,4.640854174438541,1
528,297,2.9646626686538666,1
512,332,2.207075254646709,1
516,235,5.630539292860165,1
526,209,8.809337516467503,1
526,213,8.809337516467503,1
526,317,8.809337516467503,1
526,294,8.809337516467503,1
526,216,8.809337516467503,1
523,366,3.8202163870574206,1
527,207,8.067323811105778,1
528,36,3.0047454586157074,1
512,529,2.2081529468344705,25
512,530,2.2081529468344705,229
516,157,5.795209120734795,1
523,449,3.872380511906271,1
527,215,8.762407736584246,1
528,307,3.0145603382683364,1
529,67,2.2081529468344705,1
530,2,2.2130681090043245,1
516,174,5.982595433404053,1
516,243,5.982595433404053,1
523,531,3.8916353440742473,11
523,532,3.8916353440742473,19
527,210,9.852021342797306,1
527,220,9.852021342797306,1
527,204,9.852021342797306,1
527,219,9.852021342797306,1
527,203,9.852021342797306,1
528,300,3.0145603382683364,1
529,422,2.2545394458234846,1
530,3,2.261539484164132,1
516,155,5.982595433404053,1
