parent,child,lambda_val,child_size
500,501,1.2578360941188549,28
500,502,1.2578360941188549,472
501,435,1.4288597875129525,1
502,503,1.369625383967746,12
502,504,1.369625383967746,460
501,41,1.5536547784872137,1
503,460,3.3025879268419507,1
504,362,1.4676545205252802,1
501,42,1.8427238552494678,1
503,236,3.59993157870831,1
504,505,1.5123234653952238,9
504,506,1.5123234653952238,450
501,162,3.306161016908219,1
503,33,3.782100279706873,1
505,406,1.5123234653952238,1
506,11,1.514303522238424,1
501,507,3.433249701120607,8
501,508,3.433249701120607,16
503,31,7.830123302224569,1
505,30,2.8886237908420704,1
506,509,1.5875674349867999,111
506,510,1.5875674349867999,338
507,35,4.012274568296537,1
508,354,3.8834726318080985,1
503,355,8.084121544164914,1
505,61,12.290061411588798,1
509,292,1.7437039630716553,1
510,47,1.6249903446597247,1
507,438,4.840524744158936,1
508,34,4.379837975888298,1
503,48,10.853020308385599,1
505,335,16.723736949881488,1
509,421,1.9919012609335074,1
510,32,1.6306656328704812,1
507,326,9.874772178827515,1
508,333,5.351103056163519,1
503,44,11.845466059452725,1
505,363,16.731266188470045,1
505,337,16.731266188470045,1
505,336,16.731266188470045,1
505,338,16.731266188470045,1
505,327,16.731266188470045,1
509,511,2.1043407572963186,12
509,512,2.1043407572963186,97
510,513,1.660226974647654,74
510,514,1.660226974647654,262
507,356,13.116137029169531,1
507,168,13.116137029169531,1
507,439,13.116137029169531,1
507,447,13.116137029169531,1
507,440,13.116137029169531,1
508,432,5.94764525691598,1
503,38,11.966098708799906,1
503,172,11.966098708799906,1
503,26,11.966098708799906,1
503,28,11.966098708799906,1
503,49,11.966098708799906,1
511,462,2.1043407572963186,1
512,515,2.2995479619429093,11
512,516,2.2995479619429093,86
513,4,1.660226974647654,1
514,22,1.6956874745775397,1
508,429,6.141515499317944,1
511,293,2.9640469410710897,1
515,297,2.2995479619429093,1
516,403,2.385837867219175,1
513,211,1.9109132002162108,1
514,72,1.7491599218180047,1
508,37,6.173907726947569,1
511,471,6.733223090209321,1
515,423,3.8170457868582552,1
516,517,2.502984210860912,26
516,518,2.502984210860912,59
513,519,2.5494650752433596,12
513,520,2.5494650752433596,60
514,121,1.7965071880535977,1
508,23,6.9541781346980365,1
511,451,8.788144674021428,1
515,210,6.594966054148448,1
517,413,2.5576978391034833,1
518,521,2.535841873111791,18
518,522,2.535841873111791,41
519,152,4.804814855806511,1
520,171,2.7469917833573123,1
514,64,1.797436256102377,1
508,92,7.210624119541478,1
511,459,10.244562633308641,1
515,410,7.50825267405235,1
517,25,2.589939368410877,1
521,214,2.5727075196604168,1
522,312,2.6170844463309684,1
519,164,7.133080220663764,1
520,2,2.7666251821573997,1
514,365,1.8680186233228526,1
508,188,7.341356486111141,1
511,453,10.670009308522504,1
515,220,8.472708868438625,1
517,419,2.594738698237415,1
521,217,2.678832299152446,1
522,310,2.662851976353208,1
519,167,7.205301770793442,1
520,523,2.998705351816905,22
520,524,2.998705351816905,36
514,525,1.8780738822170606,30
514,526,1.8780738822170606,227
508,83,8.4714853848383,1
511,455,12.235189400534411,1
515,424,9.142876839562387,1
517,411,2.608785676849713,1
521,308,3.4028042116023034,1
522,163,2.8018641569831995,1
519,166,7.369318310440497,1
523,527,3.428861695527253,5
523,528,3.428861695527253,17
524,221,2.998705351816905,1
525,529,2.252317235415667,5
525,530,2.252317235415667,25
526,170,2.0497655925883165,1
508,21,8.559595538984816,1
511,468,12.235189400534411,1
511,458,12.235189400534411,1
511,454,12.235189400534411,1
511,463,12.235189400534411,1
511,461,12.235189400534411,1
515,219,10.350528332503295,1
515,215,10.350528332503295,1
515,203,10.350528332503295,1
515,204,10.350528332503295,1
515,207,10.350528332503295,1
517,473,2.6513095435927,1
521,305,4.060010946530862,1
522,311,3.097157393680773,1
519,39,7.396573126488371,1
527,231,7.760618375241517,1
527,145,7.760618375241517,1
527,234,7.760618375241517,1
527,464,7.760618375241517,1
527,318,7.760618375241517,1
528,156,3.428861695527253,1
524,206,3.2263570827031627,1
529,135,2.252317235415667,1
529,140,2.252317235415667,1
529,332,2.252317235415667,1
529,103,2.252317235415667,1
529,3,2.252317235415667,1
530,239,2.594451910366835,1
526,252,2.1434357782457263,1
508,443,9.733436938552723,1
508,427,9.733436938552723,1
508,342,9.733436938552723,1
508,46,9.733436938552723,1
508,9,9.733436938552723,1
517,294,2.6810886896673627,1
521,218,4.144979389548808,1
522,531,3.4446421752559346,31
522,532,3.4446421752559346,6
519,153,7.396573126488371,1
528,431,3.8299731785876205,1
524,457,3.301396384161363,1
530,232,3.6906229764482648,1
526,194,2.156056021632386,1
517,401,2.7453907473573453,1
521,317,4.604312323058039,1
531,307,3.4446421752559346,1
532,29,3.495542437847459,1
519,466,8.820253841990386,1
528,235,3.9158210690457382,1
528,243,3.9158210690457382,1
528,228,3.9158210690457382,1
528,245,3.9158210690457382,1
524,533,3.3323444047411854,11
524,534,3.3323444047411854,22
530,114,3.8010821244342266,1
526,445,2.1598720346502716,1
517,402,3.1835720281489825,1
521,306,4.980602221351252,1
531,283,3.532908732463665,1
532,300,3.9734829266772898,1
532,323,3.9734829266772898,1
532,408,3.9734829266772898,1
532,295,3.9734829266772898,1
532,351,3.9734829266772898,1
519,469,9.29367550720888,1
519,158,9.29367550720888,1
519,474,9.29367550720888,1
519,165,9.29367550720888,1
519,169,9.29367550720888,1
528,159,4.156298728730106,1
533,226,3.5561266257383495,1
534,535,3.482378729708111,13
534,536,3.482378729708111,9
530,110,4.88177495672414,1
526,149,2.1747888128974857,1
517,449,3.4317497882899364,1
521,202,5.061273516870081,1
531,322,3.5332690775293747,1
528,160,4.991927477203052,1
533,537,4.43467603872102,5
533,538,4.43467603872102,5
535,229,3.84475652635485,1
536,244,3.482378729708111,1
530,120,5.183637756804468,1
526,370,2.23472773251528,1
517,446,3.4678674461202412,1
521,212,5.32294017017873,1
531,279,3.672910845991367,1
528,173,5.847880680411327,1
537,227,6.31182600545582,1
537,237,6.31182600545582,1
537,225,6.31182600545582,1
537,238,6.31182600545582,1
537,230,6.31182600545582,1
538,456,5.728788344277595,1
538,241,5.728788344277595,1
538,233,5.728788344277595,1
538,246,5.728788344277595,1
538,247,5.728788344277595,1
535,139,4.196436221179171,1
536,223,3.521179685574187,1
530,124,5.262955577475213,1
526,452,2.293606076964476,1
517,418,3.6903327968378496,1
521,201,5.6484068695725,1
531,27,3.7449142888549503,1
528,150,6.192842494416718,1
535,132,4.7022202176858166,1
536,126,3.521179685574187,1
530,115,5.276109905562249,1
526,348,2.344498739461426,1
517,420,3.8588305119109587,1
521,205,5.726678272460245,1
531,315,3.7720504131074533,1
528,157,6.314636639885089,1
535,240,4.917242745741691,1
535,249,4.917242745741691,1
536,137,3.6505960435117046,1
530,116,5.380422792642895,1
526,539,2.371374732419291,167
526,540,2.371374732419291,52
517,303,4.353642912290252,1
521,216,6.438083843191209,1
531,541,3.9397486216558195,7
531,542,3.9397486216558195,18
528,155,9.030622923327638,1
535,242,4.917242745741691,1
536,369,4.613251061408731,1
536,329,4.613251061408731,1
536,144,4.613251061408731,1
536,361,4.613251061408731,1
536,358,4.613251061408731,1
530,118,5.391617974253714,1
539,389,2.3762558954791286,1
540,17,2.427767739224594,1
517,409,4.411233836967251,1
521,200,6.510196808454075,1
541,304,4.695412402102232,1
542,301,3.9397486216558195,1
528,151,9.360224248411459,1
528,174,9.360224248411459,1
528,161,9.360224248411459,1
528,154,9.360224248411459,1
528,248,9.360224248411459,1
535,472,6.810900869289465,1
530,109,5.755428865660723,1
539,543,2.39722264002094,6
539,544,2.39722264002094,160
540,545,2.4626959409372615,11
540,546,2.4626959409372615,40
517,366,4.480025754312749,1
521,314,6.510196808454075,1
521,222,6.510196808454075,1
521,209,6.510196808454075,1
521,213,6.510196808454075,1
521,208,6.510196808454075,1
541,319,4.9659731556647415,1
542,278,3.9630878154132234,1
535,13,6.810900869289465,1
530,547,5.795920656220428,9
530,548,5.795920656220428,6
543,372,2.6007119039825013,1
544,79,2.4657290853597673,1
545,346,2.730735794624337,1
546,371,2.7000239777879327,1
517,407,4.69851215520986,1
541,316,4.9659731556647415,1
541,324,4.9659731556647415,1
