parent,child,lambda_val,child_size
500,40,1.0681310959856087,1
500,501,1.1704895338892274,105
500,502,1.1704895338892274,394
501,503,1.8551991302110886,34
501,504,1.8551991302110886,71
502,505,1.2700780798177083,13
502,506,1.2700780798177083,381
503,27,1.8551991302110886,1
504,295,3.129172660466506,1
505,462,5.082508690339548,1
506,163,1.3669767099197543,1
503,449,2.2936099583090614,1
504,323,3.334497903680859,1
505,33,5.157339663687947,1
505,471,5.157339663687947,1
505,460,5.157339663687947,1
505,455,5.157339663687947,1
506,133,1.54397136142939,1
503,362,2.3965821197359385,1
504,310,3.4388317846600263,1
505,458,10.64243800883585,1
506,3,1.6743006804283256,1
503,145,2.6691962437269434,1
504,308,3.548087199643391,1
505,454,16.330398256968557,1
506,370,1.7764219514938375,1
503,35,2.8965664439278367,1
504,293,3.691814544286214,1
505,468,16.432794613221333,1
506,55,1.7964499912457332,1
503,507,3.1640201003157604,9
503,508,3.1640201003157604,20
504,205,3.7529315276694732,1
505,459,17.666451140276454,1
505,461,17.666451140276454,1
505,453,17.666451140276454,1
505,463,17.666451140276454,1
505,451,17.666451140276454,1
506,457,1.8500065929756286,1
507,408,3.1640201003157604,1
508,303,3.5543315462217637,1
504,509,3.9760384568206857,20
504,510,3.9760384568206857,45
506,119,1.8562595683664378,1
507,365,3.263854573450627,1
508,413,3.7126034903752956,1
509,276,4.667060701009275,1
510,283,3.9760384568206857,1
506,236,1.9281207760092995,1
507,29,3.294535230164259,1
508,320,4.0090467471534685,1
509,292,4.956796273885515,1
510,511,4.021548609728407,26
510,512,4.021548609728407,18
506,450,1.9510915453075865,1
507,360,3.9698830710058743,1
508,294,4.103919286805363,1
509,288,5.100031143890251,1
511,222,4.021548609728407,1
512,423,4.1541473545001,1
506,162,2.0584824130733668,1
507,251,4.554191896893361,1
507,371,4.554191896893361,1
507,42,4.554191896893361,1
507,25,4.554191896893361,1
507,359,4.554191896893361,1
508,373,4.103919286805363,1
509,296,5.535550438767383,1
511,224,4.105361679782983,1
512,410,4.223252149329936,1
512,421,4.223252149329936,1
512,419,4.223252149329936,1
512,411,4.223252149329936,1
506,50,2.0705082929427503,1
508,366,4.193823982203607,1
509,301,5.552526116442562,1
509,280,5.552526116442562,1
509,313,5.552526116442562,1
511,213,4.232895892178808,1
512,306,5.39789177065922,1
506,136,2.077139885192583,1
508,409,5.334521815267225,1
509,299,6.854205097846034,1
511,513,4.270983775964464,12
511,514,4.270983775964464,11
512,424,6.320278955548403,1
506,41,2.0912930018278173,1
508,402,5.37142946539792,1
509,279,7.6433902478885996,1
513,314,4.270983775964464,1
514,324,5.119742960363265,1
512,305,6.371085451956789,1
506,34,2.123525481319137,1
508,43,5.626671506851959,1
509,290,7.708865603373059,1
513,300,4.440552175423815,1
514,316,5.544485110190799,1
512,212,7.0046867334075245,1
506,22,2.1422283952013523,1
508,406,6.00189146631722,1
509,298,9.238378338665742,1
513,216,4.768129969799821,1
514,297,5.544485110190799,1
512,207,8.066602474965613,1
506,103,2.1560725162638743,1
508,415,6.238973079532396,1
509,36,11.400022290094299,1
513,208,4.845087802960032,1
513,209,4.845087802960032,1
514,321,5.912153787304711,1
512,201,8.28753664943151,1
506,137,2.1794444008613096,1
508,400,6.352189039579886,1
509,287,12.752508211966589,1
513,418,5.1716744400882115,1
514,307,6.805750194536009,1
512,200,9.36263033659571,1
506,121,2.1872655438545454,1
508,473,6.804086964374766,1
509,289,13.94622135865912,1
513,317,5.412404398274913,1
514,309,7.533752955810303,1
512,203,10.178742006719846,1
506,64,2.1872655438545454,1
508,302,8.997762033168218,1
509,277,16.346530877034695,1
513,217,6.0257789430282775,1
513,218,6.0257789430282775,1
513,420,6.0257789430282775,1
513,202,6.0257789430282775,1
513,401,6.0257789430282775,1
514,311,8.438048734323182,1
514,315,8.438048734323182,1
514,312,8.438048734323182,1
514,319,8.438048734323182,1
514,304,8.438048734323182,1
512,210,10.773834701088218,1
512,219,10.773834701088218,1
512,220,10.773834701088218,1
512,204,10.773834701088218,1
512,215,10.773834701088218,1
506,348,2.2296028114445323,1
508,412,9.324328594626778,1
509,278,18.35208959995738,1
509,282,18.35208959995738,1
509,286,18.35208959995738,1
509,275,18.35208959995738,1
509,281,18.35208959995738,1
506,515,2.236100717744906,7
506,516,2.236100717744906,354
508,407,9.42700557895175,1
508,416,9.42700557895175,1
508,414,9.42700557895175,1
508,285,9.42700557895175,1
508,417,9.42700557895175,1
515,140,2.4668252542959017,1
516,63,2.2382027630158996,1
515,128,3.1367404276057638,1
516,74,2.2401656040379025,1
515,127,3.1367404276057638,1
515,131,3.1367404276057638,1
515,5,3.1367404276057638,1
515,7,3.1367404276057638,1
515,185,3.1367404276057638,1
516,517,2.2549764310303555,324
516,518,2.2549764310303555,28
517,340,2.2549764310303555,1
518,4,2.3924651855019907,1
517,189,2.314207663531742,1
518,113,2.856618812694818,1
517,342,2.3315973138060175,1
518,331,3.0330032398294837,1
517,47,2.3700640701226936,1
518,120,3.1020255535572256,1
517,53,2.400661941445559,1
518,100,3.1288010447751318,1
517,253,2.4109496065470983,1
518,438,3.1824325757514655,1
517,465,2.429917148849463,1
518,114,3.18827977078686,1
517,335,2.4501139743631892,1
518,211,3.2549969758968813,1
517,519,2.474861693995904,168
517,520,2.474861693995904,148
518,109,3.400260231825313,1
519,188,2.474861693995904,1
520,521,2.5799020991546913,90
520,522,2.5799020991546913,58
518,135,3.5894179789407654,1
519,250,2.487253102697849,1
521,432,2.6066943352825707,1
522,346,2.5799020991546913,1
518,523,3.7356452518025165,9
518,524,3.7356452518025165,9
519,70,2.5001455080830124,1
521,403,2.6740718157899965,1
522,525,2.6497191935462547,41
522,526,2.6497191935462547,16
523,232,3.7892404056369844,1
524,124,4.433045625467428,1
519,175,2.5078315910892726,1
521,164,2.69814525906706,1
525,17,2.662581741491539,1
526,527,2.7822202636800912,5
526,528,2.7822202636800912,11
523,239,4.0386598624535495,1
524,111,4.919981570324233,1
519,332,2.5129034445415748,1
521,252,2.7781084385267296,1
525,194,2.694829938171926,1
527,467,2.9986036933064772,1
527,14,2.9986036933064772,1
527,470,2.9986036933064772,1
527,15,2.9986036933064772,1
527,1,2.9986036933064772,1
528,529,2.812020630373101,5
528,530,2.812020630373101,6
523,108,4.273808274710521,1
524,106,5.838395936827233,1
519,183,2.5229554434113037,1
521,356,2.8096304547804984,1
525,493,2.7179172708151342,1
525,170,2.7179172708151342,1
525,480,2.7179172708151342,1
529,67,2.84829463120867,1
529,196,2.84829463120867,1
529,190,2.84829463120867,1
529,197,2.84829463120867,1
529,422,2.84829463120867,1
530,129,2.812020630373101,1
523,104,4.416863797077389,1
524,101,7.4467086175383015,1
519,531,2.5816261618009864,16
519,532,2.5816261618009864,146
