book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Cerebras-GPT,6.7B,14,-0.4683978,3.7464063,2.102327,-0.7740176,5.759666,1.1948333,2.190023
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Cerebras-GPT,6.7B,12,-2.4364777,3.215577,2.675767,-0.64762175,5.090111,-0.61742,2.1429863
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Cerebras-GPT,6.7B,12,-1.8674359,4.271425,2.3290431,-0.86336064,5.7203436,-0.74511504,2.4121728
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Cerebras-GPT,6.7B,-1,-3.0449448,3.8366528,1.8012137,-0.56718165,4.9546285,-0.9818668,2.1066682
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/Kim_by_Rudyard_Kipling.pkl,Cerebras-GPT,6.7B,12,-2.2456954,4.003333,2.2051663,-0.8451564,5.5062585,-1.1364269,2.2490177
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Cerebras-GPT,6.7B,12,-2.0219545,3.5733237,2.4534261,-0.89133286,5.508911,-0.8307029,2.2842693
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Cerebras-GPT,6.7B,12,-1.7150589,2.6682467,3.0191453,-0.75897646,5.318198,-0.63570684,2.1563401
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Cerebras-GPT,6.7B,12,-1.9348568,2.4178183,3.1807466,-1.0090688,5.5391903,-1.0109749,2.1396725
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Cerebras-GPT,6.7B,-1,-1.1668887,3.0000978,2.6505353,-0.6499982,5.253296,0.03689778,2.2766614
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Cerebras-GPT,6.7B,14,-0.23869213,4.1382246,2.021654,-0.668009,5.9174476,1.4530212,2.2799034
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/The_Cruise_of_the_Snark.pkl,Cerebras-GPT,6.7B,12,-1.9044989,2.3850207,3.2108345,-0.8084815,5.314046,-0.75486875,2.0655205
The Life and Adventures of Robinson Crusoe by Daniel Defoe,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/The_Life_and_Adventures_of_Robinson_Crusoe_by_Daniel_Defoe.pkl,Cerebras-GPT,6.7B,-1,0.26849377,2.896816,2.514156,0.92686504,4.2458086,0.3238214,3.1819193
The Lost World by Arthur Conan Doyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/The_Lost_World_by_Arthur_Conan_Doyle.pkl,Cerebras-GPT,6.7B,12,-1.9281721,2.3385427,3.0699875,-0.8687281,5.354115,-0.9170115,2.048005
The Merry Adventures of Robin Hood by Howard Pyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/The_Merry_Adventures_of_Robin_Hood_by_Howard_Pyle.pkl,Cerebras-GPT,6.7B,20,-1.759845,5.6876464,1.5813097,-0.35598022,6.4437957,0.7090642,3.653619
"The Pathfinder; Or, The Inland Sea by James Fenimore Cooper",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/The_Pathfinder__Or__The_Inland_Sea_by_James_Fenimore_Cooper.pkl,Cerebras-GPT,6.7B,16,-1.1078314,2.579714,2.9628243,-0.2972129,4.935423,-0.044904657,2.2394135
The Red Rover: A Tale by James Fenimore Cooper,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/The_Red_Rover__A_Tale_by_James_Fenimore_Cooper.pkl,Cerebras-GPT,6.7B,16,-1.176149,2.6243129,2.9931083,-0.32447332,4.9262166,-0.07951806,2.255304
The Scarlet Pimpernel by Baroness Emmuska Orczy Orczy,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/The_Scarlet_Pimpernel_by_Baroness_Emmuska_Orczy_Orczy.pkl,Cerebras-GPT,6.7B,-1,-3.243284,3.368127,2.0027626,-0.51333207,4.754291,-0.8619511,1.7918783
The Sea-Wolf by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Cerebras-GPT/6.7B/Adventure/The_Sea_Wolf_by_Jack_London.pkl,Cerebras-GPT,6.7B,12,-1.9786605,2.4893544,3.175371,-0.92412895,5.3913984,-0.88050735,2.0889854
