book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-large/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,OpenAI,text-embedding-3-large,18,1.6997528,-1.1692444,0.15557265,2.1846507,5.6019745,2.5221953,3.6690264
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-large/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,OpenAI,text-embedding-3-large,18,1.7754195,-2.0021122,-0.17939308,2.0342836,6.0670753,2.24913,3.3880203
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-large/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,OpenAI,text-embedding-3-large,25,0.68841356,-0.88787264,-0.31208295,2.560292,5.7313385,1.9448452,4.188527
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-large/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,OpenAI,text-embedding-3-large,-1,0.022908902,-2.2312624,-0.1963407,1.8961738,6.058149,2.0095177,3.5619912
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-large/Adventure/Kim_by_Rudyard_Kipling.pkl,OpenAI,text-embedding-3-large,21,0.4552871,-1.1996377,-0.49711618,2.6674771,6.197019,1.8316076,3.7478216
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-large/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,OpenAI,text-embedding-3-large,-1,0.82045585,-1.3292505,-0.429794,2.3944104,5.841293,2.114329,3.9497147
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-large/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,OpenAI,text-embedding-3-large,18,1.9215788,-1.5222312,-0.11533179,2.211849,5.849022,2.4277585,3.4480813
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-large/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,OpenAI,text-embedding-3-large,26,1.1779271,-1.2869172,-0.7621365,2.269378,5.625797,2.1489618,4.092259
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-large/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,OpenAI,text-embedding-3-large,18,1.9289305,-1.2792233,0.0047439197,2.3048775,5.6915393,2.4936094,3.5378325
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-large/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,OpenAI,text-embedding-3-large,10,-1.6640731,-1.9354252,0.57605016,1.1706537,6.2165956,1.1481456,4.9724336
