parent,child,lambda_val,child_size
500,501,0.7506207263664286,13
500,502,0.7506207263664286,487
501,293,4.725355258102522,1
502,503,1.1903883063708531,5
502,504,1.1903883063708531,482
501,464,5.042849672398437,1
503,363,19.049418647807588,1
503,338,19.049418647807588,1
503,337,19.049418647807588,1
503,327,19.049418647807588,1
503,336,19.049418647807588,1
504,236,1.3073511699637883,1
501,471,5.7683376411329315,1
504,232,1.5265517704460538,1
501,455,8.453293604554261,1
504,239,1.600263684767572,1
501,451,9.28423573875765,1
504,270,1.600778516374592,1
501,459,9.867932330960551,1
504,332,1.7535021730533378,1
501,462,11.55814795859609,1
504,365,1.7544071807352106,1
501,468,12.304941959705745,1
504,452,1.7749302330887378,1
501,463,13.107941833341997,1
501,461,13.107941833341997,1
501,454,13.107941833341997,1
501,453,13.107941833341997,1
501,458,13.107941833341997,1
504,435,1.7749302330887378,1
504,473,1.8043462847623726,1
504,94,1.8207693583665654,1
504,194,1.8310156821329606,1
504,505,1.8623883014686455,363
504,506,1.8623883014686455,108
505,179,1.8665894909086724,1
506,163,2.0255216698145317,1
505,372,1.8897072948425306,1
506,310,2.196244501909392,1
505,16,1.9317030713076582,1
506,302,2.3475887056194584,1
505,178,1.9458930191101573,1
506,54,2.4551265752243903,1
505,130,1.9967242631319315,1
506,507,2.5183143184147476,36
506,508,2.5183143184147476,68
505,121,2.014350138882522,1
507,424,2.5183143184147476,1
508,217,2.6419692953599627,1
508,218,2.6419692953599627,1
508,223,2.6419692953599627,1
508,202,2.6419692953599627,1
505,251,2.0326538059639705,1
507,414,2.757409054929382,1
508,224,2.8140006201527994,1
505,390,2.0384712734156296,1
507,509,2.924367222993714,23
507,510,2.924367222993714,11
508,511,3.1669559415076622,23
508,512,3.1669559415076622,40
505,3,2.0785706754483386,1
509,322,2.924367222993714,1
510,513,2.9538371847520972,5
510,514,2.9538371847520972,6
511,316,5.003353542607378,1
512,515,3.3758019592029616,26
512,516,3.3758019592029616,14
505,72,2.092510521960215,1
509,422,3.268224592380706,1
513,69,2.9538371847520972,1
513,408,2.9538371847520972,1
513,406,2.9538371847520972,1
513,30,2.9538371847520972,1
513,29,2.9538371847520972,1
514,404,4.670071242526051,1
511,276,5.296352187401039,1
515,517,3.8086925517153927,7
515,518,3.8086925517153927,19
516,311,4.300232204502882,1
505,32,2.1053451871013857,1
509,405,3.7737698480536417,1
514,366,5.077872519839494,1
514,350,5.077872519839494,1
514,68,5.077872519839494,1
514,373,5.077872519839494,1
514,353,5.077872519839494,1
511,297,5.567264312024979,1
517,207,4.371783671676037,1
518,221,3.8675069327582854,1
516,323,4.367627259210667,1
505,519,2.1141727192243165,150
505,520,2.1141727192243165,202
509,285,3.7887427606943236,1
511,278,5.837840207698085,1
