book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-small/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,OpenAI,text-embedding-3-small,-1,10.363572,9.693042,14.503185,6.794973,2.2225964,1.3127464,6.761167
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-small/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,OpenAI,text-embedding-3-small,21,9.77524,10.17714,14.600886,6.886433,2.5399704,1.3695856,7.0856094
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-small/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,OpenAI,text-embedding-3-small,-1,9.983349,8.75583,13.724403,7.6150365,2.7666352,1.2292988,6.2750134
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-small/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,OpenAI,text-embedding-3-small,-1,11.045657,9.598007,15.130376,6.8352003,2.011845,1.3982491,6.3274693
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-small/Adventure/Kim_by_Rudyard_Kipling.pkl,OpenAI,text-embedding-3-small,-1,10.291355,8.523752,13.9165745,7.532678,2.9245656,1.5919036,6.3038387
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-small/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,OpenAI,text-embedding-3-small,-1,9.983077,8.914924,13.868751,7.5104847,2.792019,1.2932686,6.473686
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-small/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,OpenAI,text-embedding-3-small,21,9.452707,10.076573,14.366869,6.987427,2.580351,1.2328615,7.1642127
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-small/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,OpenAI,text-embedding-3-small,-1,9.681699,9.102481,13.921297,7.6568375,2.731352,1.2065971,6.689306
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-small/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,OpenAI,text-embedding-3-small,21,9.220084,9.954345,14.096752,7.032929,2.6198697,1.1343936,7.0935464
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-small/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,OpenAI,text-embedding-3-small,18,12.091546,7.360035,14.099324,6.9853034,1.0921237,0.8682579,5.2011952
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/OpenAI/text-embedding-3-small/Adventure/The_Cruise_of_the_Snark.pkl,OpenAI,text-embedding-3-small,21,9.267425,9.902168,14.185531,7.023331,2.5971878,1.1656291,7.1237807
