parent,child,lambda_val,child_size
500,501,0.5881527205732733,12
500,502,0.5881527205732733,488
501,293,4.501737112961641,1
502,503,0.6229277687328127,97
502,504,0.6229277687328127,391
501,455,11.312262707609076,1
503,29,1.3525377696401228,1
504,505,1.5311994780896592,51
504,506,1.5311994780896592,340
501,471,12.565448352782465,1
503,406,1.7563347270077556,1
505,507,3.0602165933902943,15
505,508,3.0602165933902943,36
506,509,1.6692469102612877,7
506,510,1.6692469102612877,333
501,454,13.012499273120564,1
503,322,1.9505324195311928,1
507,227,3.0602165933902943,1
508,228,3.2075548155650844,1
509,156,3.15027848500554,1
510,511,1.6823730607158691,6
510,512,1.6823730607158691,327
501,451,13.230456464180469,1
503,423,2.1835456982387336,1
507,126,3.4266355734701324,1
508,248,3.8775554400916175,1
509,231,3.4185023119316926,1
511,361,1.8723339682680076,1
512,245,1.7654803497847487,1
501,468,16.223910171940577,1
503,163,2.534184135505248,1
507,229,4.803684671920332,1
508,171,3.9626548180374632,1
509,145,3.4185023119316926,1
509,159,3.4185023119316926,1
509,464,3.4185023119316926,1
509,318,3.4185023119316926,1
509,234,3.4185023119316926,1
511,358,2.7147170707215023,1
511,435,2.7147170707215023,1
511,431,2.7147170707215023,1
511,41,2.7147170707215023,1
511,369,2.7147170707215023,1
512,243,1.8123589158511904,1
501,453,18.896585034513734,1
503,285,2.5731597113151192,1
507,242,5.348350065556254,1
508,226,3.9650563927873947,1
512,244,1.8395960213184315,1
501,462,20.715378165470423,1
501,459,20.715378165470423,1
501,461,20.715378165470423,1
501,463,20.715378165470423,1
501,458,20.715378165470423,1
503,43,2.5838643232921368,1
507,249,5.5807613143226105,1
508,513,4.037231077789421,10
508,514,4.037231077789421,22
512,515,1.8475327563106894,6
512,516,1.8475327563106894,318
503,27,2.913153507271837,1
507,13,6.012872630845867,1
513,456,4.284200299377801,1
514,155,4.056240438093183,1
514,235,4.056240438093183,1
515,439,7.899904903857483,1
516,438,1.8475327563106894,1
503,517,2.948543447810563,14
503,518,2.948543447810563,75
507,329,6.012872630845867,1
513,247,5.540398906302038,1
514,174,4.056240438093183,1
515,168,15.231678511018568,1
515,356,15.231678511018568,1
515,326,15.231678511018568,1
515,447,15.231678511018568,1
515,440,15.231678511018568,1
516,72,1.8557014583175546,1
517,222,3.8695154561170098,1
518,323,3.4304459545939294,1
507,132,6.736725495596543,1
513,238,6.545877053748301,1
514,519,4.852972057372734,5
514,520,4.852972057372734,14
516,0,1.8982542340507198,1
517,424,3.9540952258373356,1
518,324,3.46720045732287,1
507,472,7.947018157369512,1
507,146,7.947018157369512,1
513,237,7.202473831924278,1
519,161,5.4155938270145425,1
519,160,5.4155938270145425,1
519,150,5.4155938270145425,1
519,152,5.4155938270145425,1
519,157,5.4155938270145425,1
520,151,5.111399824304597,1
516,55,1.9108861249620284,1
517,212,5.006736507930773,1
518,300,3.515049528603036,1
507,147,9.932126973693093,1
507,148,9.932126973693093,1
507,143,9.932126973693093,1
507,240,9.932126973693093,1
507,138,9.932126973693093,1
513,246,7.42745856552865,1
