parent,child,lambda_val,child_size
500,45,1.136919791969385,1
500,47,1.1818081718624196,1
500,501,1.2568610164705842,66
500,502,1.2568610164705842,432
501,503,2.1607511717264223,42
501,504,2.1607511717264223,24
502,32,1.2811144301268353,1
503,226,2.1607511717264223,1
504,171,2.6417210446837815,1
502,223,1.3303610821917036,1
502,221,1.3303610821917036,1
502,214,1.3303610821917036,1
502,206,1.3303610821917036,1
503,456,3.340321589399649,1
504,431,3.5822110818309745,1
502,403,1.3303610821917036,1
503,505,3.5121163196779914,13
503,506,3.5121163196779914,27
504,156,3.8932170408114746,1
502,397,1.4363780005744546,1
505,233,3.5121163196779914,1
506,358,3.59968370243615,1
504,41,4.002894477970954,1
502,507,1.474120702574642,11
502,508,1.474120702574642,414
505,164,4.63137878629176,1
506,509,3.612541920505655,12
506,510,3.612541920505655,14
504,228,4.295855184819399,1
507,471,3.749185157118084,1
508,252,1.4939013006800204,1
505,167,5.414607623993087,1
509,132,4.874149641647518,1
510,247,3.6423115647761617,1
504,511,4.863027660394202,5
504,512,4.863027660394202,14
507,455,4.611379888913969,1
508,513,1.581089807562842,138
508,514,1.581089807562842,275
505,153,7.568043965704064,1
509,472,6.3015988773387965,1
510,515,3.981080695854609,7
510,516,3.981080695854609,6
511,231,5.08210254936676,1
511,318,5.08210254936676,1
511,145,5.08210254936676,1
511,234,5.08210254936676,1
511,464,5.08210254936676,1
512,160,5.706841259192779,1
507,451,5.132412307107626,1
513,322,1.5951711032908262,1
514,24,1.647276756380352,1
505,152,8.099869151799066,1
509,242,6.427481639590844,1
515,457,3.981080695854609,1
516,225,4.801190609489398,1
512,245,6.378663668157769,1
507,293,5.363676517493009,1
513,351,1.8547918347389363,1
514,369,1.7378986821049147,1
505,166,9.569166320347193,1
509,229,6.453794097359801,1
515,144,4.132047017455373,1
516,241,5.271218166674018,1
516,237,5.271218166674018,1
516,238,5.271218166674018,1
516,230,5.271218166674018,1
516,246,5.271218166674018,1
512,151,6.41072992845632,1
507,458,5.9314868538123315,1
513,11,1.9561269818789,1
514,190,1.7412270547301738,1
505,165,11.22896683710306,1
509,249,6.453794097359801,1
515,227,4.448288187725672,1
515,361,4.448288187725672,1
515,244,4.448288187725672,1
515,137,4.448288187725672,1
515,329,4.448288187725672,1
512,150,6.486503168931426,1
507,461,6.160851207395288,1
507,459,6.160851207395288,1
507,463,6.160851207395288,1
507,453,6.160851207395288,1
507,454,6.160851207395288,1
507,468,6.160851207395288,1
513,446,2.073762804000812,1
514,517,1.813489575122595,65
514,518,1.813489575122595,207
505,466,11.699913130505818,1
509,240,6.453794097359801,1
512,243,7.070655539524839,1
513,346,2.1603356765519233,1
517,126,1.8553112296129213,1
518,370,1.813489575122595,1
505,474,11.699913130505818,1
505,158,11.699913130505818,1
505,469,11.699913130505818,1
505,39,11.699913130505818,1
505,169,11.699913130505818,1
509,148,8.1277075249488,1
512,235,7.070655539524839,1
513,42,2.182070164667484,1
517,519,1.9104631136537469,28
517,520,1.9104631136537469,36
518,495,1.8439143017640889,1
509,143,10.446375333342841,1
509,13,10.446375333342841,1
509,147,10.446375333342841,1
509,138,10.446375333342841,1
509,146,10.446375333342841,1
512,159,7.12357546627571,1
513,68,2.2030035424764223,1
519,435,1.9104631136537469,1
520,185,1.9982612517328904,1
518,4,1.963601688192056,1
512,154,7.3015631952589946,1
513,521,2.2787267806406977,12
513,522,2.2787267806406977,119
519,523,2.4179399613284938,19
519,524,2.4179399613284938,8
520,452,2.8126589050294393,1
518,149,1.9807646633056928,1
512,248,7.624245416306571,1
521,31,3.1151495922649532,1
522,525,2.346132679094526,76
522,526,2.346132679094526,43
523,0,2.817493145618713,1
524,211,4.668537197251768,1
520,139,2.936238589671867,1
518,257,1.9911701614857962,1
512,174,8.514370579968285,1
512,161,8.514370579968285,1
512,173,8.514370579968285,1
512,155,8.514370579968285,1
512,157,8.514370579968285,1
521,49,3.387564028342424,1
525,304,2.586950783091427,1
526,527,2.531221535547898,23
526,528,2.531221535547898,20
523,34,2.9171286345608634,1
524,356,10.083495750511702,1
520,480,3.0202071347427704,1
518,284,2.0669195567091094,1
521,460,3.775175467881496,1
525,529,2.705931241775079,31
525,530,2.705931241775079,44
527,371,2.6277180617611817,1
528,373,2.8867331083568164,1
523,162,3.0163371227129985,1
524,440,12.996656969447157,1
520,128,3.036091499824729,1
518,94,2.0746192867896887,1
521,33,3.936064055931325,1
529,315,2.705931241775079,1
530,531,2.7592025427731457,27
530,532,2.7592025427731457,17
527,178,2.782418517821594,1
528,366,2.9593878412954546,1
523,35,3.055228852409212,1
524,326,14.50468172091533,1
524,168,14.50468172091533,1
524,438,14.50468172091533,1
524,447,14.50468172091533,1
524,439,14.50468172091533,1
520,64,3.2308382389115375,1
520,67,3.2308382389115375,1
520,129,3.2308382389115375,1
520,54,3.2308382389115375,1
518,96,2.0872394309208904,1
521,38,5.303657632522688,1
529,279,2.7643837955299353,1
531,406,2.8128558995227784,1
532,217,3.8018655988381975,1
527,533,2.848168259435403,7
527,534,2.848168259435403,14
528,473,3.207671111126971,1
523,333,3.9009967878653096,1
520,50,3.2308382389115375,1
518,482,2.0879151222578196,1
521,236,5.885989496074141,1
529,297,2.8978721378683057,1
531,294,2.8777017263194957,1
532,419,4.098222334444832,1
533,196,2.848168259435403,1
534,444,3.437154121383744,1
528,413,3.391470571988308,1
528,310,3.391470571988308,1
528,402,3.391470571988308,1
528,27,3.391470571988308,1
523,429,3.9280629436306644,1
520,6,3.435052887914468,1
518,357,2.147999863071135,1
521,44,6.137279303377202,1
529,276,4.031416181884792,1
531,29,2.9170324425135314,1
531,362,2.9170324425135314,1
531,30,2.9170324425135314,1
531,408,2.9170324425135314,1
532,411,4.266607271533334,1
532,421,4.266607271533334,1
532,401,4.266607271533334,1
533,365,3.3255324332497165,1
534,384,3.4392113544477487,1
528,400,3.7320736067999705,1
523,37,4.368977358804603,1
520,535,3.523140987544486,5
520,536,3.523140987544486,20
518,72,2.1506666671553822,1
521,48,7.608294763278659,1
521,355,7.608294763278659,1
521,172,7.608294763278659,1
521,26,7.608294763278659,1
521,28,7.608294763278659,1
529,278,4.271192415546631,1
531,163,2.9170324425135314,1
532,423,4.266607271533334,1
532,410,4.266607271533334,1
533,25,4.2179799519848595,1
533,360,4.2179799519848595,1
533,422,4.2179799519848595,1
533,414,4.2179799519848595,1
533,359,4.2179799519848595,1
534,537,3.4911848129440233,5
534,538,3.4911848129440233,7
528,320,4.000260077510755,1
523,432,5.002918522032081,1
535,5,3.766076333040791,1
535,131,3.766076333040791,1
535,133,3.766076333040791,1
535,2,3.766076333040791,1
535,127,3.766076333040791,1
536,125,3.523140987544486,1
518,381,2.1669080496683666,1
529,319,4.341400148913524,1
531,323,3.0585547308017182,1
532,424,4.304918178802624,1
537,199,3.913149453128976,1
537,467,3.913149453128976,1
537,14,3.913149453128976,1
537,470,3.913149453128976,1
537,15,3.913149453128976,1
538,170,3.5346223167832784,1
528,303,4.407641168490326,1
523,188,7.286917184740623,1
536,197,3.661078223361414,1
518,539,2.194179096895235,5
518,540,2.194179096895235,190
529,462,4.594465858977117,1
531,311,3.5285525901145074,1
532,218,4.889309169150764,1
538,396,5.100708107741269,1
528,415,4.9040564985165025,1
523,342,7.576294820579674,1
536,180,3.67197570762556,1
539,392,2.8423572226781513,1
539,380,2.8423572226781513,1
539,379,2.8423572226781513,1
539,395,2.8423572226781513,1
539,382,2.8423572226781513,1
540,448,2.2544598008000785,1
540,73,2.2544598008000785,1
540,389,2.2544598008000785,1
540,372,2.2544598008000785,1
529,286,4.7827129671602435,1
531,307,3.543533260336728,1
532,210,5.251952241206829,1
538,376,5.164426326425048,1
538,186,5.164426326425048,1
538,387,5.164426326425048,1
538,8,5.164426326425048,1
538,18,5.164426326425048,1
528,302,6.580123153355846,1
523,83,9.043407337753964,1
536,398,3.7139435715582985,1
540,250,2.2544598008000785,1
529,280,5.0090977871423465,1
531,308,3.614497395739522,1
531,295,3.614497395739522,1
531,312,3.614497395739522,1
531,300,3.614497395739522,1
532,202,5.515661754691074,1
528,416,7.017033570197484,1
523,92,9.043407337753964,1
536,194,3.8468917924663413,1
540,71,2.2544598008000785,1
529,541,5.186103912614032,8
529,542,5.186103912614032,14
531,306,3.647365253297162,1
532,219,5.582703883509401,1
528,418,7.017033570197484,1
523,354,9.25991357852087,1
536,10,4.060721642140955,1
536,141,4.060721642140955,1
540,543,2.2698964496896976,5
540,544,2.2698964496896976,179
541,313,5.186103912614032,1
542,288,5.278253769873656,1
531,205,3.6665727416130127,1
532,220,6.885831671213364,1
532,207,6.885831671213364,1
532,204,6.885831671213364,1
532,215,6.885831671213364,1
532,203,6.885831671213364,1
528,412,7.1624422606073095,1
523,427,9.336135398180705,1
536,385,4.694907172631201,1
543,109,2.7546754290619657,1
543,481,2.7546754290619657,1
543,232,2.7546754290619657,1
543,239,2.7546754290619657,1
543,114,2.7546754290619657,1
544,258,2.397032280546244,1
541,283,5.186103912614032,1
542,36,5.736335992620174,1
531,208,4.816679439213762,1
528,285,8.27837000398531,1
528,407,8.27837000398531,1
528,420,8.27837000398531,1
528,43,8.27837000398531,1
528,417,8.27837000398531,1
523,9,9.71743084840683,1
523,23,9.71743084840683,1
523,443,9.71743084840683,1
523,46,9.71743084840683,1
523,21,9.71743084840683,1
536,377,4.829205394632986,1
536,386,4.829205394632986,1
536,7,4.829205394632986,1
536,383,4.829205394632986,1
544,425,2.4041943716422103,1
541,224,5.470120786643873,1
542,281,6.793553865879726,1
531,213,4.8425095491448795,1
536,17,4.983384365707389,1
544,136,2.412683319303578,1
541,301,5.84922197497732,1
541,316,5.84922197497732,1
541,321,5.84922197497732,1
541,324,5.84922197497732,1
