book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Pythia,160M,8,1.1019204,-2.597622,6.144032,5.9946637,3.9414551,8.797165,-0.7353282
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Pythia,160M,-1,0.86055845,-2.0615964,6.3489523,5.670426,3.5159938,8.578951,-0.6767391
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Pythia,160M,-1,-0.44843152,-1.1921974,6.099763,4.825161,3.3607533,8.718673,-0.48817092
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Pythia,160M,16,0.02063953,-3.8212261,4.721085,5.95162,3.5762718,8.773246,-0.9748282
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/Kim_by_Rudyard_Kipling.pkl,Pythia,160M,17,-0.90040267,-4.4910846,4.434013,5.48611,4.0068674,8.800987,-1.4411061
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Pythia,160M,22,-0.39176068,-2.4006054,5.5760612,5.2970285,3.6733522,7.9764495,-1.2943968
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Pythia,160M,22,0.20398861,-1.9815005,6.048318,5.4482765,3.844549,7.77157,-1.2434887
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Pythia,160M,22,0.017793192,-2.6446514,5.618851,5.5137625,3.781294,8.144783,-1.5174441
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Pythia,160M,22,-0.31463972,-2.0431821,5.8833776,5.272137,3.7673123,7.598931,-1.3007382
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,160M,26,1.6524353,-2.5823696,6.19767,6.1233234,3.7266257,9.212703,-0.46038252
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_Cruise_of_the_Snark.pkl,Pythia,160M,22,-0.11389601,-2.0261338,5.953099,5.3133407,3.8684797,7.6777267,-1.3249758
The Life and Adventures of Robinson Crusoe by Daniel Defoe,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_Life_and_Adventures_of_Robinson_Crusoe_by_Daniel_Defoe.pkl,Pythia,160M,10,1.5546236,-1.3873796,6.5207715,5.764594,4.151096,7.407358,-0.17238288
The Lost World by Arthur Conan Doyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_Lost_World_by_Arthur_Conan_Doyle.pkl,Pythia,160M,22,-0.29630786,-2.1662486,5.7913613,5.342037,3.7082038,7.729643,-1.3801118
The Merry Adventures of Robin Hood by Howard Pyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_Merry_Adventures_of_Robin_Hood_by_Howard_Pyle.pkl,Pythia,160M,5,-1.1164879,-0.28921083,6.486198,4.0905423,2.8419557,9.053863,-0.20294392
"The Pathfinder; Or, The Inland Sea by James Fenimore Cooper",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_Pathfinder__Or__The_Inland_Sea_by_James_Fenimore_Cooper.pkl,Pythia,160M,21,0.6869042,-2.096128,6.3193135,5.6437497,3.6854992,7.992408,-0.93384415
The Red Rover: A Tale by James Fenimore Cooper,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_Red_Rover__A_Tale_by_James_Fenimore_Cooper.pkl,Pythia,160M,21,0.6645578,-1.9158701,6.379503,5.687549,3.6914124,7.977094,-0.90707475
The Scarlet Pimpernel by Baroness Emmuska Orczy Orczy,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_Scarlet_Pimpernel_by_Baroness_Emmuska_Orczy_Orczy.pkl,Pythia,160M,-1,0.96667886,-3.5188687,5.6427045,6.369345,3.8064399,8.793531,-0.9944644
The Sea-Wolf by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_Sea_Wolf_by_Jack_London.pkl,Pythia,160M,22,-0.53019017,-2.4387136,5.62223,5.2591834,3.6995807,7.7852135,-1.4815135
The Swiss Family Robinson; or Adventures in a Desert Island by Johann David Wyss,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_Swiss_Family_Robinson__or_Adventures_in_a_Desert_Island_by_Johann_David_Wyss.pkl,Pythia,160M,22,-0.14887519,-2.070785,6.048233,5.3358192,3.8094995,7.568864,-1.1286947
The call of the wild by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_call_of_the_wild_by_Jack_London.pkl,Pythia,160M,28,-1.132643,-4.9364634,4.4248667,5.580801,4.2048907,8.5161085,-2.0282679
The prisoner of Zenda by Anthony Hope,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_prisoner_of_Zenda_by_Anthony_Hope.pkl,Pythia,160M,27,0.59333247,-3.6922028,5.3411326,6.6153398,3.68388,8.862708,-1.2756723
The three musketeers by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/The_three_musketeers_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,160M,26,1.554237,-2.4519336,6.2773643,6.0041895,3.6452365,9.168225,-0.43207952
Treasure Island by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/Treasure_Island_by_Robert_Louis_Stevenson.pkl,Pythia,160M,-1,-0.14408869,-3.490233,4.8165236,5.8738666,3.7362752,8.359513,-1.1608675
Twenty years after by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/Twenty_years_after_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,160M,26,1.501112,-2.4654992,6.2563577,6.0106654,3.6342185,9.131074,-0.4701146
White Fang by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Adventure/White_Fang_by_Jack_London.pkl,Pythia,160M,-1,-1.1801088,-4.8218117,4.5059233,5.5227213,4.1586823,8.463119,-2.019355
A Mind That Found Itself: An Autobiography by Clifford Whittingham Beers,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Biographies and Autobiographies/A_Mind_That_Found_Itself__An_Autobiography_by_Clifford_Whittingham_Beers.pkl,Pythia,160M,10,1.8817799,-1.1142281,6.811313,5.8500314,4.225611,7.320967,0.060140766
"Abraham Lincoln: The True Story of a Great Life, Volume 1 (of 2) by Herndon et al.",Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Biographies and Autobiographies/Abraham_Lincoln__The_True_Story_of_a_Great_Life__Volume_1__of_2__by_Herndon_et_al_.pkl,Pythia,160M,1,2.5710602,-1.4597038,6.7041054,5.923431,4.3334556,7.6977735,0.5727622
Autobiography by John Stuart Mill,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Biographies and Autobiographies/Autobiography_by_John_Stuart_Mill.pkl,Pythia,160M,-1,2.351415,-0.4812278,7.4109473,5.801289,4.459509,6.8807173,0.73976624
Autobiography of Andrew Carnegie by Andrew Carnegie,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Biographies and Autobiographies/Autobiography_of_Andrew_Carnegie_by_Andrew_Carnegie.pkl,Pythia,160M,1,2.5639977,-1.734991,6.56946,5.994277,4.3495398,7.8566184,0.5575939
Autobiography of Benjamin Franklin by Benjamin Franklin,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Biographies and Autobiographies/Autobiography_of_Benjamin_Franklin_by_Benjamin_Franklin.pkl,Pythia,160M,1,2.5461757,-1.7340692,6.6827745,5.9646945,4.3508534,7.7476277,0.6244527
Boswell's Life of Johnson by James Boswell,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Biographies and Autobiographies/Boswell_s_Life_of_Johnson_by_James_Boswell.pkl,Pythia,160M,-1,2.3848922,-2.6118443,5.7906194,6.613636,4.1926756,8.777121,-0.076246865
Life of Harriet Beecher Stowe by Harriet Beecher Stowe,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Biographies and Autobiographies/Life_of_Harriet_Beecher_Stowe_by_Harriet_Beecher_Stowe.pkl,Pythia,160M,13,2.506511,-2.5538955,5.4175205,6.568753,4.5549965,8.7132845,-0.16272895
"Louisa May Alcott : Her Life, Letters, and Journals by Louisa May Alcott",Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Biographies and Autobiographies/Louisa_May_Alcott___Her_Life__Letters__and_Journals_by_Louisa_May_Alcott.pkl,Pythia,160M,13,2.1307237,-3.5161612,5.2241287,6.5905957,4.4352355,8.947119,-0.2781797
Memoirs of General William T. Sherman — Complete by William T. Sherman,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Biographies and Autobiographies/Memoirs_of_General_William_T__Sherman___Complete_by_William_T__Sherman.pkl,Pythia,160M,-1,1.5994097,0.5967531,7.766271,4.8199935,3.6346104,7.705412,1.5197715
Memoirs of Napoleon Bonaparte — Complete by Louis Antoine Fauvelet de Bourrienne,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Biographies and Autobiographies/Memoirs_of_Napoleon_Bonaparte___Complete_by_Louis_Antoine_Fauvelet_de_Bourrienne.pkl,Pythia,160M,4,1.4950178,0.5998549,7.7338915,4.5557895,3.4202197,7.947633,1.4630111
My Life — Volume 1 by Richard Wagner,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/160M/Biographies and Autobiographies/My_Life___Volume_1_by_Richard_Wagner.pkl,Pythia,160M,10,1.7989088,-1.2260536,6.8798795,5.8634343,4.1969953,7.3347163,0.06755316
