book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Pythia,1B,-1,2.5633163,-1.6003209,11.351413,2.6000848,7.716085,3.642866,4.8696113
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Pythia,1B,-1,2.7358537,-3.2084002,12.356072,2.0104198,7.961231,2.8147187,4.783028
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Pythia,1B,13,1.4935478,-3.2668545,13.206754,2.7914045,8.050499,3.395275,4.5383353
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Pythia,1B,-1,2.0833344,-3.642811,13.090967,1.9082412,7.6344857,2.9940183,4.7590632
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/Kim_by_Rudyard_Kipling.pkl,Pythia,1B,-1,1.5143603,-3.5430841,13.291102,2.5506868,8.237814,3.5455973,4.46024
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Pythia,1B,13,1.522832,-3.3279788,13.271687,2.781785,8.278093,3.3501322,4.450104
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Pythia,1B,13,1.600782,-2.614133,12.673359,3.093312,8.687828,3.3732226,4.496967
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Pythia,1B,13,1.1178777,-3.3177445,13.396068,2.9363236,8.392899,3.226995,4.386425
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Pythia,1B,12,2.4545455,-2.528723,12.125276,2.828181,8.241363,2.7630122,4.8331976
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,1B,4,2.38575,-1.2269739,11.275897,2.631012,7.3010726,3.7150145,5.0911098
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_Cruise_of_the_Snark.pkl,Pythia,1B,13,1.2756459,-2.682171,12.857082,3.119263,8.806227,3.4034977,4.3854203
The Life and Adventures of Robinson Crusoe by Daniel Defoe,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_Life_and_Adventures_of_Robinson_Crusoe_by_Daniel_Defoe.pkl,Pythia,1B,-1,3.2450223,-2.068422,11.653733,2.9296837,8.226698,2.7043586,5.0262885
The Lost World by Arthur Conan Doyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_Lost_World_by_Arthur_Conan_Doyle.pkl,Pythia,1B,13,1.4111141,-3.218269,13.278097,2.8461013,8.567702,3.1527455,4.390261
The Merry Adventures of Robin Hood by Howard Pyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_Merry_Adventures_of_Robin_Hood_by_Howard_Pyle.pkl,Pythia,1B,7,0.6698102,-0.27120346,12.0919075,4.2483025,6.9348974,4.5386615,5.6903524
"The Pathfinder; Or, The Inland Sea by James Fenimore Cooper",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_Pathfinder__Or__The_Inland_Sea_by_James_Fenimore_Cooper.pkl,Pythia,1B,11,2.8117495,-2.9058235,12.071334,2.333359,8.016576,2.6774411,4.842125
The Red Rover: A Tale by James Fenimore Cooper,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_Red_Rover__A_Tale_by_James_Fenimore_Cooper.pkl,Pythia,1B,11,2.9380083,-2.785375,12.017486,2.2919512,7.9635253,2.6669724,4.8683434
The Scarlet Pimpernel by Baroness Emmuska Orczy Orczy,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_Scarlet_Pimpernel_by_Baroness_Emmuska_Orczy_Orczy.pkl,Pythia,1B,-1,2.3905907,-3.6560724,12.647712,1.7510395,7.9123745,2.9873881,4.6833177
The Sea-Wolf by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_Sea_Wolf_by_Jack_London.pkl,Pythia,1B,13,0.9777126,-3.4580624,13.379261,2.7578535,8.681549,3.2292244,4.2777963
The Swiss Family Robinson; or Adventures in a Desert Island by Johann David Wyss,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_Swiss_Family_Robinson__or_Adventures_in_a_Desert_Island_by_Johann_David_Wyss.pkl,Pythia,1B,12,2.6873434,-2.2888987,11.98081,2.8701227,8.244184,2.7713091,4.8760495
The call of the wild by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_call_of_the_wild_by_Jack_London.pkl,Pythia,1B,-1,0.832725,-3.9948065,13.746084,2.4772167,8.75393,3.0980403,4.1753044
The prisoner of Zenda by Anthony Hope,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_prisoner_of_Zenda_by_Anthony_Hope.pkl,Pythia,1B,-1,2.3768458,-3.8920321,12.738815,1.6631299,7.963891,2.989068,4.660151
The three musketeers by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/The_three_musketeers_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,1B,4,2.3178577,-1.1671933,11.2408,2.7093697,7.2520084,3.761486,5.1394353
Treasure Island by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/Treasure_Island_by_Robert_Louis_Stevenson.pkl,Pythia,1B,-1,2.1008143,-3.634825,13.125554,1.9193518,7.697718,2.9724104,4.7465806
Twenty years after by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/Twenty_years_after_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,1B,4,2.3054185,-1.1697391,11.240003,2.7030976,7.241849,3.7713,5.1388025
White Fang by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1B/Adventure/White_Fang_by_Jack_London.pkl,Pythia,1B,13,0.69252825,-3.641118,13.540678,2.719956,8.691897,3.1521928,4.255864
