parent,child,lambda_val,child_size
500,501,1.2850799180753973,10
500,502,1.2850799180753973,490
501,503,4.707943545527839,5
501,504,4.707943545527839,5
502,34,1.2877085471032936,1
503,451,6.032889163430965,1
503,458,6.032889163430965,1
503,459,6.032889163430965,1
503,453,6.032889163430965,1
503,461,6.032889163430965,1
504,455,6.047870906809682,1
504,471,6.047870906809682,1
504,468,6.047870906809682,1
504,463,6.047870906809682,1
504,454,6.047870906809682,1
502,505,1.3926321682888918,23
502,506,1.3926321682888918,466
505,171,3.2513998378183855,1
506,35,1.392715095989998,1
505,160,4.015253182946921,1
506,346,1.5185990800269333,1
505,156,4.6275744431959795,1
506,294,1.564256921877436,1
505,507,5.312831098449162,8
505,508,5.312831098449162,12
506,435,1.641283521006414,1
507,243,5.312831098449162,1
508,431,5.371358841897336,1
506,509,1.6495972969997845,70
506,510,1.6495972969997845,392
507,145,5.435647640113016,1
508,157,6.051306039952817,1
509,178,1.6495972969997845,1
510,32,1.6803798569297226,1
507,318,6.09064155402923,1
508,159,6.888366826220789,1
509,511,1.8315747946846075,26
509,512,1.8315747946846075,43
510,47,1.6881162042694222,1
507,231,6.9052611843490235,1
507,464,6.9052611843490235,1
507,245,6.9052611843490235,1
507,234,6.9052611843490235,1
507,228,6.9052611843490235,1
508,151,7.545246064334807,1
511,333,1.935123151559659,1
512,369,1.8315747946846075,1
510,45,1.7563279727036958,1
508,248,8.20285612271323,1
511,41,2.0694589725275345,1
512,358,2.753105843494512,1
510,190,1.7903935947810197,1
508,235,8.26252838975196,1
511,162,2.155587694264357,1
512,513,3.497341195330115,35
512,514,3.497341195330115,6
510,362,1.8106691745880843,1
508,161,8.375198653935234,1
511,0,2.3808301546226396,1
513,227,3.497341195330115,1
514,457,3.8274662079346258,1
510,30,1.8189326369305499,1
508,150,9.183787909453132,1
508,174,9.183787909453132,1
508,155,9.183787909453132,1
508,173,9.183787909453132,1
508,154,9.183787909453132,1
511,515,2.4557752643195805,9
511,516,2.4557752643195805,13
513,152,3.861855777587633,1
514,329,4.62768606222596,1
514,144,4.62768606222596,1
514,244,4.62768606222596,1
514,361,4.62768606222596,1
514,137,4.62768606222596,1
510,185,1.8331230398531768,1
515,429,2.6381579914687574,1
516,432,4.59924467394585,1
513,226,4.135503256665094,1
510,63,1.8391218659956103,1
515,211,4.983365297618653,1
516,188,4.797217053599555,1
513,517,4.410809159778186,11
513,518,4.410809159778186,21
510,519,1.8632721033355315,13
510,520,1.8632721033355315,371
515,438,7.032630108520741,1
516,37,5.023973619182537,1
517,164,4.410809159778186,1
518,521,4.475799749001744,12
518,522,4.475799749001744,9
519,446,4.163009537088715,1
520,523,1.8813891290954528,80
520,524,1.8813891290954528,291
515,440,11.914145137612994,1
516,83,7.579488247026554,1
516,92,7.579488247026554,1
517,153,4.917159870796829,1
521,240,6.972885305406428,1
521,132,6.972885305406428,1
521,229,6.972885305406428,1
521,249,6.972885305406428,1
522,247,4.689111310340233,1
519,31,4.240618689391257,1
523,406,2.0950935598948033,1
524,483,1.8977563702091074,1
515,326,14.64354373732704,1
515,439,14.64354373732704,1
515,356,14.64354373732704,1
515,168,14.64354373732704,1
515,447,14.64354373732704,1
516,427,8.167986998523194,1
517,158,6.808562345212966,1
521,242,6.972885305406428,1
522,246,4.689111310340233,1
522,233,4.689111310340233,1
522,456,4.689111310340233,1
519,49,5.714806751812541,1
523,293,2.350365324480281,1
524,252,1.8981801630104582,1
516,342,8.445908208896496,1
517,466,15.136730217692879,1
521,472,7.179403926000574,1
522,225,5.130152810727906,1
522,237,5.130152810727906,1
522,241,5.130152810727906,1
522,230,5.130152810727906,1
522,238,5.130152810727906,1
519,48,6.489739921578304,1
523,163,2.5631856490043425,1
523,408,2.5631856490043425,1
523,29,2.5631856490043425,1
524,390,1.9275846609546177,1
516,46,8.515951083740267,1
517,167,17.161322218250564,1
521,143,9.014527883247547,1
519,38,6.648985682928526,1
519,26,6.648985682928526,1
519,172,6.648985682928526,1
519,44,6.648985682928526,1
523,297,2.682630103995903,1
524,370,1.9379829607273895,1
516,9,8.782467975859023,1
516,354,8.782467975859023,1
516,443,8.782467975859023,1
516,21,8.782467975859023,1
516,23,8.782467975859023,1
517,469,18.664461275999813,1
521,148,11.41335943253633,1
521,147,11.41335943253633,1
521,13,11.41335943253633,1
521,138,11.41335943253633,1
521,146,11.41335943253633,1
519,28,6.648985682928526,1
519,355,6.648985682928526,1
519,236,6.648985682928526,1
519,460,6.648985682928526,1
519,33,6.648985682928526,1
523,295,2.825587616568548,1
523,312,2.825587616568548,1
523,300,2.825587616568548,1
524,40,1.9553540895929455,1
517,39,18.664461275999813,1
517,169,18.664461275999813,1
517,474,18.664461275999813,1
517,165,18.664461275999813,1
517,166,18.664461275999813,1
523,311,2.825587616568548,1
524,448,1.9625116516389254,1
523,223,2.862046313902175,1
523,206,2.862046313902175,1
523,214,2.862046313902175,1
523,221,2.862046313902175,1
524,389,2.0205089154016114,1
523,403,2.862046313902175,1
524,495,2.0205089154016114,1
523,323,2.910946310409321,1
524,19,2.0205912730385185,1
523,308,3.0054631379458354,1
524,482,2.0630967696755653,1
523,525,3.093689749295954,32
523,526,3.093689749295954,31
524,126,2.0683790890927165,1
525,278,3.3500364863156227,1
526,401,3.511019170589338,1
524,250,2.081150436576671,1
525,276,3.6848504703005256,1
526,205,3.587468065485094,1
524,340,2.095485271397522,1
525,315,3.890432900770368,1
526,317,3.9660323212965185,1
524,348,2.101834349016773,1
524,331,2.101834349016773,1
525,301,3.8929565413894944,1
525,304,3.8929565413894944,1
525,307,3.8929565413894944,1
526,527,4.238337503649538,15
526,528,4.238337503649538,13
524,529,2.1242303791032695,7
524,530,2.1242303791032695,269
525,531,4.138650217004336,5
525,532,4.138650217004336,21
527,217,4.30332874982036,1
527,224,4.30332874982036,1
527,202,4.30332874982036,1
527,218,4.30332874982036,1
528,220,6.619028030435805,1
529,61,2.166692789027949,1
530,533,2.1782081612013915,261
530,534,2.1782081612013915,8
531,319,4.643156380374103,1
531,324,4.643156380374103,1
531,316,4.643156380374103,1
531,321,4.643156380374103,1
531,309,4.643156380374103,1
