book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/2.8B/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Pythia,2.8B,3,7.2222853,10.075143,11.989649,9.755475,10.898872,4.0779266,3.983241
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/2.8B/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Pythia,2.8B,7,6.960205,11.449486,11.763677,8.800172,12.404881,3.069727,3.5344813
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/2.8B/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Pythia,2.8B,19,8.589274,11.1029005,12.047865,9.213853,12.224949,2.8358653,2.603186
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/2.8B/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Pythia,2.8B,22,6.9855537,11.795775,12.879467,8.767279,12.75022,2.9948452,3.2826622
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/2.8B/Adventure/Kim_by_Rudyard_Kipling.pkl,Pythia,2.8B,19,8.498918,11.375717,12.196812,9.072889,12.398584,2.709888,2.7963824
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/2.8B/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Pythia,2.8B,19,8.504658,11.693672,11.980665,9.153342,12.357387,2.742027,2.6049726
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/2.8B/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Pythia,2.8B,16,7.7082767,11.515089,11.1590185,9.177206,12.339488,2.6554577,3.0479317
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/2.8B/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Pythia,2.8B,16,8.624775,12.597129,11.353967,9.278181,12.863003,2.536245,2.405569
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/2.8B/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Pythia,2.8B,7,6.969439,10.983277,11.37739,8.790132,11.95212,3.1252604,3.5997381
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/2.8B/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,2.8B,3,7.362461,9.616335,12.033112,9.813098,10.691635,4.127538,4.029955
