book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Qwen2.5,1.5B,-1,5.778706,0.7653676,5.465178,5.3526087,9.956231,8.030802,8.265297
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Qwen2.5,1.5B,-1,5.503648,0.7300174,5.7954955,5.295338,10.387305,8.308957,7.7354307
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Qwen2.5,1.5B,16,3.435706,1.1469266,6.494063,4.1777625,10.92385,8.237031,7.6524653
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Qwen2.5,1.5B,17,4.761228,0.2134152,5.852861,4.9114075,10.792055,8.539051,8.452947
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/Kim_by_Rudyard_Kipling.pkl,Qwen2.5,1.5B,-1,4.408628,0.6659425,6.1452336,4.805056,10.968561,8.280404,8.063835
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Qwen2.5,1.5B,16,3.5677807,0.7716403,6.483021,4.3458486,11.011934,8.263822,7.632541
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Qwen2.5,1.5B,-1,5.014315,0.97568583,6.1298547,5.2062864,10.580307,8.244995,7.334272
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Qwen2.5,1.5B,26,2.642371,-0.37498412,6.8213983,4.8838563,11.739565,8.575434,7.1223593
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Qwen2.5,1.5B,9,5.5874434,1.2906091,5.8987474,5.2507744,10.006275,8.246837,7.1895337
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Qwen2.5,1.5B,1,5.0236945,2.3150306,5.31808,4.525427,8.782816,7.3840976,8.214434
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/The_Cruise_of_the_Snark.pkl,Qwen2.5,1.5B,-1,3.9678583,-1.8943585,6.486422,5.653775,11.79722,8.363506,7.5664396
The Life and Adventures of Robinson Crusoe by Daniel Defoe,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/The_Life_and_Adventures_of_Robinson_Crusoe_by_Daniel_Defoe.pkl,Qwen2.5,1.5B,4,6.967038,1.0282742,5.161348,5.862018,9.260456,8.48139,7.658067
The Lost World by Arthur Conan Doyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/The_Lost_World_by_Arthur_Conan_Doyle.pkl,Qwen2.5,1.5B,26,2.842283,-0.44182447,6.6676507,5.011754,11.547935,8.675656,7.052353
The Merry Adventures of Robin Hood by Howard Pyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/The_Merry_Adventures_of_Robin_Hood_by_Howard_Pyle.pkl,Qwen2.5,1.5B,6,3.0198567,2.8982408,5.6210895,3.0926063,8.281595,7.233882,8.339125
"The Pathfinder; Or, The Inland Sea by James Fenimore Cooper",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/The_Pathfinder__Or__The_Inland_Sea_by_James_Fenimore_Cooper.pkl,Qwen2.5,1.5B,9,5.5819063,1.0803552,5.738297,5.3449244,10.06651,8.283223,7.3949933
The Red Rover: A Tale by James Fenimore Cooper,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/The_Red_Rover__A_Tale_by_James_Fenimore_Cooper.pkl,Qwen2.5,1.5B,9,5.9253316,1.1374861,5.653343,5.330125,9.805746,8.237839,7.444938
The Scarlet Pimpernel by Baroness Emmuska Orczy Orczy,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/The_Scarlet_Pimpernel_by_Baroness_Emmuska_Orczy_Orczy.pkl,Qwen2.5,1.5B,-1,4.813562,-0.3549633,5.751937,5.44805,11.43864,9.042823,8.473545
The Sea-Wolf by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/1.5B/Adventure/The_Sea_Wolf_by_Jack_London.pkl,Qwen2.5,1.5B,26,2.8599398,-0.776878,6.748727,5.132027,11.897323,8.593083,7.182464
