parent,child,lambda_val,child_size
500,501,1.0454584083595315,11
500,502,1.0454584083595315,489
501,293,2.9528014059144887,1
502,34,1.398696882986415,1
501,451,3.656271224000129,1
502,503,1.675538101329379,398
502,504,1.675538101329379,90
501,459,4.538842106297912,1
503,366,1.675538101329379,1
504,126,2.0396595186552413,1
501,458,4.968377326001877,1
503,163,1.6918900074184136,1
504,223,2.069786691607404,1
501,471,5.06560943958921,1
503,370,1.706686630883589,1
504,152,2.1035104419470025,1
501,455,5.3621367777329025,1
503,10,1.8814634120227225,1
504,160,2.3934254918510667,1
501,468,5.458248507547426,1
501,463,5.458248507547426,1
501,461,5.458248507547426,1
501,453,5.458248507547426,1
501,454,5.458248507547426,1
503,367,1.9142121333646385,1
504,167,2.4904082902551083,1
503,397,1.9368401587185369,1
504,159,2.776794110690078,1
503,206,1.9789732339372228,1
504,505,2.9214186994851192,26
504,506,2.9214186994851192,58
503,0,2.0037642735328305,1
505,358,2.9214186994851192,1
506,507,2.9780564391758326,11
506,508,2.9780564391758326,47
503,257,2.005889244740647,1
505,435,3.312836276003091,1
507,233,2.9780564391758326,1
508,247,3.1228908492847793,1
503,442,2.028117713477705,1
505,356,3.570515162829588,1
507,164,3.7163226025676233,1
508,329,3.716533550838422,1
503,75,2.0412492153092097,1
505,369,3.6678100001670995,1
507,166,3.9791348393682773,1
508,144,3.7932627101346132,1
503,457,2.0819598641567154,1
505,211,4.387815278935527,1
507,466,5.307367175018395,1
508,509,3.869502820482778,19
508,510,3.869502820482778,25
503,511,2.0836484064210863,6
503,512,2.0836484064210863,380
505,439,5.391684282955439,1
507,153,6.580107082519352,1
509,41,4.5636197277304715,1
510,226,3.869502820482778,1
511,11,2.0836484064210863,1
512,389,2.105945714163125,1
505,342,5.666968353031045,1
507,158,7.685301403908802,1
509,431,4.827821693169723,1
510,513,3.872835756030676,11
510,514,3.872835756030676,13
511,30,4.465619570832465,1
511,362,4.465619570832465,1
511,408,4.465619570832465,1
511,29,4.465619570832465,1
511,351,4.465619570832465,1
512,515,2.107249650120483,153
512,516,2.107249650120483,226
505,354,5.795283526211834,1
507,39,9.79477151106364,1
507,474,9.79477151106364,1
507,165,9.79477151106364,1
507,469,9.79477151106364,1
507,169,9.79477151106364,1
509,228,5.194577662745643,1
513,227,3.974575793950044,1
514,246,4.436567089463768,1
515,437,2.129855035124295,1
516,116,2.107581563724435,1
505,517,5.874772328098795,5
505,518,5.874772328098795,13
509,157,5.212856772686528,1
513,137,4.225468596372939,1
514,230,4.5945250827250605,1
515,519,2.138187676050161,41
515,520,2.138187676050161,111
516,185,2.136329275512382,1
517,438,6.581575726994939,1
517,168,6.581575726994939,1
517,326,6.581575726994939,1
517,440,6.581575726994939,1
517,447,6.581575726994939,1
518,427,5.874772328098795,1
509,521,6.147624760736977,9
509,522,6.147624760736977,6
513,244,4.7060793671184795,1
514,229,5.830620292603256,1
514,472,5.830620292603256,1
514,241,5.830620292603256,1
514,148,5.830620292603256,1
519,523,2.14379226679314,8
519,524,2.14379226679314,33
520,27,2.174459825259753,1
516,6,2.169535912293489,1
518,429,6.871584234560512,1
521,174,6.995185287553886,1
522,464,6.894704989275248,1
513,132,4.71402362009203,1
514,237,6.101819543335882,1
523,45,2.14379226679314,1
524,525,2.16611177257912,14
524,526,2.16611177257912,19
520,171,2.1879117808063806,1
516,130,2.1813710077546817,1
516,495,2.1813710077546817,1
516,1,2.1813710077546817,1
518,162,7.081587326154628,1
521,248,7.262372892860099,1
522,243,6.894704989275248,1
522,318,6.894704989275248,1
522,231,6.894704989275248,1
522,245,6.894704989275248,1
522,234,6.894704989275248,1
513,361,4.9164770847578145,1
513,456,4.9164770847578145,1
514,238,6.681130534275536,1
523,406,3.2007341924645245,1
525,284,2.6201823522335794,1
526,67,2.16611177257912,1
520,25,2.1879117808063806,1
516,4,2.2116798667357416,1
518,37,7.263355043914552,1
521,235,7.262372892860099,1
513,242,4.963594424114153,1
513,221,4.963594424114153,1
513,240,4.963594424114153,1
513,249,4.963594424114153,1
513,225,4.963594424114153,1
514,138,17.435458885959523,1
514,147,17.435458885959523,1
514,13,17.435458885959523,1
514,143,17.435458885959523,1
514,146,17.435458885959523,1
523,335,4.27937789987404,1
525,40,2.6224979254096183,1
526,333,2.2141133584462156,1
520,297,2.5005610407082335,1
516,106,2.2265798504348506,1
518,432,7.965734459882278,1
521,150,7.7043707953035065,1
523,327,12.38217189508546,1
523,363,12.38217189508546,1
523,337,12.38217189508546,1
523,338,12.38217189508546,1
