book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Qwen2.5,3B,6,7.7583528,9.734239,8.392882,5.1688375,6.146199,8.047695,7.9456606
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Qwen2.5,3B,-1,8.085476,11.062644,6.4002757,4.3160863,6.258223,8.070916,8.614187
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Qwen2.5,3B,-1,9.35831,9.921953,6.9075575,4.0626206,7.3576374,7.9462833,8.716074
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Qwen2.5,3B,-1,8.318793,11.335063,6.681592,3.867711,6.3102617,7.5039716,9.114435
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/Kim_by_Rudyard_Kipling.pkl,Qwen2.5,3B,-1,9.407638,10.45448,6.6499624,3.9341373,7.103452,8.036573,8.861581
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Qwen2.5,3B,23,9.698229,10.260576,6.6984634,3.8888261,7.3934536,8.12064,8.82003
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Qwen2.5,3B,-1,8.2542095,10.72823,6.2219787,4.3300104,6.7829304,8.379812,8.389652
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Qwen2.5,3B,-1,10.576014,11.169798,6.1537137,3.5337985,7.564894,8.615605,8.972805
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Qwen2.5,3B,5,7.578955,10.8431225,6.4174285,4.854326,6.1659265,7.9314303,7.946159
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Qwen2.5,3B,6,7.7573967,9.496622,8.470534,5.2039566,6.1268954,8.024142,7.946726
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/The_Cruise_of_the_Snark.pkl,Qwen2.5,3B,27,10.211774,12.485496,5.4115877,3.7258906,6.907973,9.199858,9.273989
The Life and Adventures of Robinson Crusoe by Daniel Defoe,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen2.5/3B/Adventure/The_Life_and_Adventures_of_Robinson_Crusoe_by_Daniel_Defoe.pkl,Qwen2.5,3B,0,5.829549,12.06558,6.156893,5.308792,5.2253404,6.640291,7.7526784
