parent,child,lambda_val,child_size
500,163,1.167457477733727,1
500,501,1.5486133105092623,31
500,502,1.5486133105092623,468
501,503,1.5954305135480389,11
501,504,1.5954305135480389,20
502,34,1.617031195669778,1
503,429,1.697142932155475,1
504,435,3.6266167509456118,1
502,483,1.7506139330262456,1
503,77,1.7531505197027046,1
504,505,4.011559096106549,5
504,506,4.011559096106549,14
502,126,1.7545178734810536,1
502,365,1.7545178734810536,1
502,366,1.7545178734810536,1
502,197,1.7545178734810536,1
503,0,2.07942011268157,1
505,193,4.011559096106549,1
505,384,4.011559096106549,1
505,178,4.011559096106549,1
505,346,4.011559096106549,1
505,333,4.011559096106549,1
506,342,5.252213753871715,1
502,406,1.7762788464349188,1
503,211,4.5565767951161975,1
506,162,6.18299885684179,1
502,507,1.7946263545025667,384
502,508,1.7946263545025667,77
503,168,4.748767413281621,1
506,9,6.227135408719649,1
507,232,1.80193025254611,1
508,509,1.882433134938092,11
508,510,1.882433134938092,66
503,356,7.158941177010356,1
506,46,6.32774102388663,1
507,322,1.833219831946929,1
509,166,3.277706838425813,1
510,156,1.9131799661998912,1
503,447,8.55625364076349,1
503,438,8.55625364076349,1
503,326,8.55625364076349,1
503,440,8.55625364076349,1
503,439,8.55625364076349,1
506,37,6.644739423335664,1
507,140,1.8485942452964654,1
509,164,3.7467520870543325,1
510,511,1.930081633784365,12
510,512,1.930081633784365,53
506,432,6.674813159969171,1
507,81,1.85818714469502,1
509,167,5.0927599025560655,1
511,171,1.930081633784365,1
512,160,3.6535949254155256,1
506,188,7.075218059248063,1
507,450,1.897934836301466,1
509,153,6.1057118144179885,1
511,159,2.2333641198930834,1
512,513,3.6835424530234153,30
512,514,3.6835424530234153,22
506,21,8.405934397955294,1
506,354,8.405934397955294,1
507,408,1.9108098909842484,1
509,158,7.988084323579286,1
511,451,3.2381987174824816,1
513,369,4.002011698568114,1
513,137,4.002011698568114,1
513,358,4.002011698568114,1
513,329,4.002011698568114,1
514,144,4.0127414599173115,1
506,443,8.477498623499264,1
506,92,8.477498623499264,1
506,23,8.477498623499264,1
506,83,8.477498623499264,1
506,427,8.477498623499264,1
507,130,1.9776143220283975,1
509,169,8.458476949459877,1
511,459,3.7617773562060792,1
513,221,4.028089526875492,1
514,151,4.964787313102728,1
507,3,2.02644792910122,1
509,466,9.63162454742506,1
509,165,9.63162454742506,1
509,469,9.63162454742506,1
509,474,9.63162454742506,1
509,39,9.63162454742506,1
511,455,3.9702007499545964,1
513,233,4.028089526875492,1
514,226,5.329116450424247,1
507,184,2.0271642247312065,1
511,461,4.195655308706669,1
513,148,4.162226564366725,1
514,152,5.466945554058776,1
507,404,2.049928592737944,1
511,458,4.502392166382185,1
513,515,4.205226164842825,6
513,516,4.205226164842825,17
514,234,5.531819633944374,1
507,239,2.094260666941697,1
511,468,5.670365589073798,1
511,471,5.670365589073798,1
511,454,5.670365589073798,1
511,453,5.670365589073798,1
511,463,5.670365589073798,1
515,472,7.477828046620456,1
516,229,4.377802759586951,1
514,228,5.63180010402687,1
514,245,5.63180010402687,1
514,318,5.63180010402687,1
514,231,5.63180010402687,1
507,1,2.095346994828513,1
515,13,18.974830908949418,1
515,147,18.974830908949418,1
515,138,18.974830908949418,1
515,146,18.974830908949418,1
515,143,18.974830908949418,1
516,249,4.979761649882102,1
514,243,5.63180010402687,1
507,445,2.1111663659764734,1
516,517,5.249043174914779,7
516,518,5.249043174914779,8
514,464,6.618890501278533,1
507,367,2.1152947246369793,1
517,132,5.249043174914779,1
518,240,5.4211539972368294,1
514,41,7.207139813507363,1
507,118,2.16993921410773,1
517,227,5.359329291612554,1
518,242,5.616011324345678,1
514,173,7.575575874945428,1
507,65,2.172228433418114,1
517,456,5.359329291612554,1
517,247,5.359329291612554,1
517,225,5.359329291612554,1
517,244,5.359329291612554,1
517,361,5.359329291612554,1
518,241,5.616011324345678,1
514,235,7.7164252419563795,1
507,519,2.176331256211773,231
507,520,2.176331256211773,137
518,2,5.637800522099757,1
518,230,5.637800522099757,1
518,246,5.637800522099757,1
518,238,5.637800522099757,1
518,237,5.637800522099757,1
514,150,7.948613613939884,1
519,185,2.176331256211773,1
520,45,2.1905355286118793,1
514,157,8.725277574700002,1
519,179,2.1799988857503227,1
520,196,2.190723072617664,1
514,431,9.593960565080627,1
519,206,2.188451713226955,1
520,29,2.495948285222311,1
520,30,2.495948285222311,1
520,362,2.495948285222311,1
520,351,2.495948285222311,1
514,174,10.283760400044542,1
514,161,10.283760400044542,1
514,154,10.283760400044542,1
514,248,10.283760400044542,1
514,155,10.283760400044542,1
519,378,2.1942515766007293,1
520,11,2.495948285222311,1
519,352,2.2232657752164555,1
520,437,2.5870943753482196,1
519,433,2.225699734202515,1
520,216,2.632303579030537,1
519,521,2.2478746542535086,9
519,522,2.2478746542535086,216
520,284,2.696154594731374,1
521,67,2.289041970814305,1
522,495,2.2478746542535086,1
520,523,2.773833063531755,7
520,524,2.773833063531755,120
521,6,2.3450421199298366,1
522,370,2.2497385597198782,1
523,422,2.773833063531755,1
524,308,2.8450475219985703,1
521,396,2.648035123931625,1
522,332,2.2497385597198782,1
523,444,3.0842268231033896,1
524,310,2.928707908012715,1
521,376,3.0465281390761683,1
522,340,2.2558975176628704,1
523,14,3.217854477085049,1
523,199,3.217854477085049,1
523,470,3.217854477085049,1
523,467,3.217854477085049,1
523,15,3.217854477085049,1
524,300,2.999136879050891,1
521,170,3.884938415684658,1
521,8,3.884938415684658,1
521,186,3.884938415684658,1
521,18,3.884938415684658,1
521,387,3.884938415684658,1
522,357,2.2627415255859167,1
524,223,3.0142843973917417,1
522,428,2.266969228455003,1
524,525,3.066551522433698,13
524,526,3.066551522433698,103
522,94,2.2681307353821354,1
525,251,3.2802791731278154,1
526,373,3.078321537113921,1
522,527,2.276443911631137,6
522,528,2.276443911631137,203
525,145,3.9255183345912736,1
526,529,3.1242628278617652,22
526,530,3.1242628278617652,80
527,335,3.284342876966219,1
528,531,2.2936720887812063,26
528,532,2.2936720887812063,177
525,413,4.076325099346141,1
529,293,3.663515076071865,1
530,48,3.1863519122277824,1
527,336,7.833692735197442,1
527,338,7.833692735197442,1
527,337,7.833692735197442,1
527,363,7.833692735197442,1
527,327,7.833692735197442,1
531,121,2.6827023868082636,1
532,105,2.2936720887812063,1
525,40,4.286922363020879,1
529,278,4.40574687071017,1
530,411,3.2131743301650864,1
531,181,2.785075430690583,1
531,72,2.785075430690583,1
532,441,2.295061681806415,1
525,294,4.472536008503042,1
529,288,4.607506514891318,1
530,214,3.2208334818928317,1
531,22,2.785075430690583,1
532,133,2.3376110563517587,1
525,149,4.5776363933236865,1
529,36,4.6754369955967725,1
530,533,3.2532005621829008,30
530,534,3.2532005621829008,47
531,112,3.557966869935934,1
532,47,2.3467990315385583,1
525,360,5.210231120968257,1
529,276,4.928673763205374,1
533,535,3.308025939510036,12
533,536,3.308025939510036,18
534,217,3.28652991483699,1
531,64,3.9532426616400467,1
532,388,2.3609418010969723,1
525,129,5.333598438196937,1
529,279,4.928673763205374,1
535,473,3.308025939510036,1
536,400,3.495915796684116,1
534,295,3.3370011076500488,1
531,115,4.181230633611596,1
532,457,2.415768971923942,1
525,25,5.333598438196937,1
525,42,5.333598438196937,1
525,35,5.333598438196937,1
525,359,5.333598438196937,1
525,371,5.333598438196937,1
529,299,5.165363143802782,1
535,38,3.5536971094120853,1
536,418,3.6599815334962296,1
534,402,3.455592601922514,1
531,119,4.239848241772873,1
532,131,2.4604907375391125,1
529,449,5.560770993041443,1
535,31,4.619044459767881,1
536,407,3.89174721908649,1
534,537,3.7200759359061215,6
534,538,3.7200759359061215,38
531,107,4.553875589307992,1
532,135,2.4707830517347547,1
529,292,5.778222443920521,1
535,236,4.828366320161492,1
536,420,3.978277629648622,1
536,417,3.978277629648622,1
537,213,3.8876853794617827,1
538,209,3.7200759359061215,1
531,114,5.323950623013243,1
532,442,2.5277840510592626,1
529,296,5.9890370818305,1
