book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Qwen3-Embedding,0.6B,-1,16.738272,11.2838,19.165895,10.89395,8.7046795,10.554138,-1.6661944
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Qwen3-Embedding,0.6B,4,18.293829,10.375371,19.584408,10.602546,8.208232,11.00982,-2.1978846
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Qwen3-Embedding,0.6B,7,16.89844,9.756199,19.677843,10.208231,8.212815,10.993762,-0.7745692
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Qwen3-Embedding,0.6B,-1,16.719133,11.585071,19.35813,11.120317,8.907982,10.403053,-1.8585421
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/Kim_by_Rudyard_Kipling.pkl,Qwen3-Embedding,0.6B,-1,16.544952,9.922308,19.309547,10.146916,8.390071,11.010682,-0.8033601
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Qwen3-Embedding,0.6B,7,16.736006,9.916664,19.572323,10.313449,8.297836,10.959695,-1.0522472
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Qwen3-Embedding,0.6B,4,18.58161,10.011983,19.82382,10.500134,8.00847,11.174165,-2.2675223
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Qwen3-Embedding,0.6B,7,17.169058,10.180366,19.715927,10.391552,8.242596,10.898342,-1.3525374
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Qwen3-Embedding,0.6B,4,18.593672,9.877758,19.825031,10.438762,8.044131,11.212346,-2.1793528
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Qwen3-Embedding,0.6B,12,18.276503,11.421187,19.09481,11.6331415,8.447101,10.004384,-0.48890805
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/The_Cruise_of_the_Snark.pkl,Qwen3-Embedding,0.6B,4,18.540798,9.966411,19.845718,10.4631605,7.990517,11.196533,-2.2194695
The Life and Adventures of Robinson Crusoe by Daniel Defoe,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/The_Life_and_Adventures_of_Robinson_Crusoe_by_Daniel_Defoe.pkl,Qwen3-Embedding,0.6B,4,18.396267,10.005627,19.841967,10.43606,8.03435,11.221926,-2.1433306
The Lost World by Arthur Conan Doyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/The_Lost_World_by_Arthur_Conan_Doyle.pkl,Qwen3-Embedding,0.6B,7,17.323639,10.21055,19.810696,10.5743685,8.281287,10.863474,-1.4347624
The Merry Adventures of Robin Hood by Howard Pyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/The_Merry_Adventures_of_Robin_Hood_by_Howard_Pyle.pkl,Qwen3-Embedding,0.6B,-1,16.00018,9.492811,19.666754,10.230023,8.593596,10.831954,-0.0052533634
"The Pathfinder; Or, The Inland Sea by James Fenimore Cooper",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/The_Pathfinder__Or__The_Inland_Sea_by_James_Fenimore_Cooper.pkl,Qwen3-Embedding,0.6B,4,16.547495,11.149145,19.36044,10.673814,8.470693,10.954855,-2.114849
The Red Rover: A Tale by James Fenimore Cooper,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/0.6B/Adventure/The_Red_Rover__A_Tale_by_James_Fenimore_Cooper.pkl,Qwen3-Embedding,0.6B,4,18.437181,10.227849,19.699245,10.593902,8.102069,11.011983,-2.2885056
