parent,child,lambda_val,child_size
500,501,0.3833742821869341,407
500,502,0.3833742821869341,93
501,503,0.7174380003956244,34
501,504,0.7174380003956244,373
502,505,0.6492122953490154,70
502,506,0.6492122953490154,23
503,174,4.066249379901176,1
504,507,1.0187610194589192,17
504,508,1.0187610194589192,356
505,43,2.5520860012155038,1
506,276,3.2729019312682515,1
503,235,4.112988902403854,1
507,355,2.4892637154252037,1
508,163,1.020356677629193,1
505,366,2.8133425075438927,1
506,351,3.572194559134269,1
503,509,4.2356410524577495,6
503,510,4.2356410524577495,26
507,465,2.6416178941826662,1
507,460,2.6416178941826662,1
507,33,2.6416178941826662,1
508,40,1.3395019846480476,1
505,27,3.0623364201894763,1
506,301,4.535564136188515,1
509,161,4.2356410524577495,1
510,171,5.131520272794926,1
507,293,3.617347523942031,1
508,29,1.493488087869342,1
505,297,3.1634371634512317,1
506,283,5.697064826821728,1
509,150,6.236750918411955,1
509,248,6.236750918411955,1
509,152,6.236750918411955,1
509,160,6.236750918411955,1
509,157,6.236750918411955,1
510,511,5.189353577806004,12
510,512,5.189353577806004,13
507,471,5.15491849356346,1
508,236,1.602818640467187,1
505,308,3.3889821472928676,1
506,282,7.515500529714949,1
511,173,5.83452214639334,1
512,466,7.10708159725865,1
507,455,6.134969373375572,1
508,372,1.8079030819444901,1
505,323,3.6610322203334418,1
506,298,9.625377655870665,1
511,154,6.1577002017380345,1
512,246,7.8530797333541,1
507,463,10.519558390531362,1
508,4,1.9198210469684902,1
505,324,3.9122792671034343,1
506,313,9.900498191277725,1
511,151,7.451148728982208,1
512,226,8.056070063493513,1
507,462,10.712092324950456,1
508,513,1.9440997501483657,14
508,514,1.9440997501483657,336
505,515,3.9201362487717217,10
505,516,3.9201362487717217,53
506,281,9.994166015027009,1
511,469,7.627783485129401,1
512,153,8.056070063493513,1
507,464,11.266084738087214,1
513,14,2.0338105429558384,1
514,58,1.9781867030894866,1
515,302,3.9201362487717217,1
516,285,3.9265433513236765,1
506,287,10.310149373463178,1
511,39,8.541187991537038,1
512,247,9.426998319089003,1
512,164,9.426998319089003,1
507,468,12.213479269005772,1
513,71,4.933169610083206,1
514,452,1.9792555135996859,1
