book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/8B/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Qwen3-Embedding,8B,-1,-7.776083,5.3212333,-2.9164326,4.8439274,2.1451404,9.684158,4.2082458
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/8B/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Qwen3-Embedding,8B,14,-8.771198,6.0038905,-2.5640075,5.0072637,2.0825567,10.286591,3.6206481
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/8B/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Qwen3-Embedding,8B,-1,-7.314349,6.9181767,-2.5830693,4.1077857,2.5134354,9.274892,3.063489
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/8B/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Qwen3-Embedding,8B,-1,-8.307982,4.79815,-3.054863,5.0979214,2.303805,9.684303,4.840694
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/8B/Adventure/Kim_by_Rudyard_Kipling.pkl,Qwen3-Embedding,8B,-1,-6.186366,6.3078637,-2.5426989,4.217635,2.6424518,9.162936,3.113298
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/8B/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Qwen3-Embedding,8B,-1,-7.4967484,6.9360204,-2.6238036,4.1645255,2.3325734,9.474845,3.0152395
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/8B/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Qwen3-Embedding,8B,14,-8.86301,6.330814,-2.555522,4.852206,1.9676348,10.3438835,3.395746
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/8B/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Qwen3-Embedding,8B,14,-8.279302,6.652226,-2.5993404,4.5297465,2.1021538,9.951737,3.1801903
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/8B/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Qwen3-Embedding,8B,14,-8.681777,6.4385643,-2.506875,4.869984,1.974917,10.338145,3.3125312
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Qwen3-Embedding/8B/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Qwen3-Embedding,8B,4,-6.781599,1.9690012,-3.607864,3.2327275,1.8644468,8.488655,5.9282346
